arm,boundary_conditional_mae,boundary_conditional_rmse,boundary_false_count,boundary_found_rate,boundary_missed_count,boundary_predicted_found,boundary_reference_found,complementarity_max,delta_rmse,equation_max,fb_max,mae,max_abs_error,max_normalized_complementarity,max_normalized_equation_violation,max_normalized_lcp_residual,max_normalized_obstacle_violation,network_spec,obstacle_max,reference_source,regime_id,region,relative_l2,rmse,sample_count,scaled_gamma_rmse,seed,split,variant,vi_p95
D,2.890182479977275,2.890182479977275,0,0.01652892561983471,119,1,120,0.00014457744001881493,0.004618834457676907,0.0015597660676872072,0.002323558008018578,0.0011239114771354865,0.006040065333950961,9.66308005725986e-07,1.312845160101067e-05,0.0020358599548339885,0.0020358599548339885,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.006040065333950961,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q010,all,0.005074218490986335,0.0018210078751126747,5203,0.049282960285295045,101,stress_holdout,etc_fb_mixture,0.004536281385054574
D,2.890182479977275,2.890182479977275,0,0.01652892561983471,119,1,120,0.00014457744001881493,0.004618834457676907,0.0015597660676872072,0.002323558008018578,0.0022803046001085943,0.006040065333950961,9.66308005725986e-07,1.312845160101067e-05,0.0020358599548339885,0.0020358599548339885,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.006040065333950961,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q010,exercise_region,0.005286077840450055,0.0028976504311523424,1831,0.049282960285295045,101,stress_holdout,etc_fb_mixture,0.004536281385054574
D,2.890182479977275,2.890182479977275,0,0.01652892561983471,119,1,120,0.00014457744001881493,0.004618834457676907,0.0015597660676872072,0.002323558008018578,0.0004959886396017498,0.003315995955314399,9.66308005725986e-07,1.312845160101067e-05,0.0020358599548339885,0.0020358599548339885,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.006040065333950961,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q010,continuation_region,0.00395935089050063,0.0007466299124563985,3372,0.049282960285295045,101,stress_holdout,etc_fb_mixture,0.004536281385054574
D,2.890182479977275,2.890182479977275,0,0.01652892561983471,119,1,120,0.00014457744001881493,0.004618834457676907,0.0015597660676872072,0.002323558008018578,0.002339379746804009,0.004732415699888359,9.66308005725986e-07,1.312845160101067e-05,0.0020358599548339885,0.0020358599548339885,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.006040065333950961,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q010,boundary_near,0.005976534289836729,0.0026030558756969854,480,0.049282960285295045,101,stress_holdout,etc_fb_mixture,0.004536281385054574
D,2.890182479977275,2.890182479977275,0,0.01652892561983471,119,1,120,0.00014457744001881493,0.004618834457676907,0.0015597660676872072,0.002323558008018578,8.830248250264222e-05,0.00017392615292118052,9.66308005725986e-07,1.312845160101067e-05,0.0020358599548339885,0.0020358599548339885,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.006040065333950961,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q010,payoff_kink_near,0.001200165517531321,0.0001012972496441332,605,0.049282960285295045,101,stress_holdout,etc_fb_mixture,0.004536281385054574
D,2.890182479977275,2.890182479977275,0,0.01652892561983471,119,1,120,0.00014457744001881493,0.004618834457676907,0.0015597660676872072,0.002323558008018578,0.0,0.0,9.66308005725986e-07,1.312845160101067e-05,0.0020358599548339885,0.0020358599548339885,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.006040065333950961,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q010,maturity_row,0.0,0.0,43,0.049282960285295045,101,stress_holdout,etc_fb_mixture,0.004536281385054574
D,2.890182479977275,2.890182479977275,0,0.01652892561983471,119,1,120,0.00014457744001881493,0.004618834457676907,0.0015597660676872072,0.002323558008018578,0.0011430609008194772,0.006040065333950961,9.66308005725986e-07,1.312845160101067e-05,0.0020358599548339885,0.0020358599548339885,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.006040065333950961,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q010,strict_interior,0.0049580198493544385,0.0018504716653237544,4087,0.049282960285295045,101,stress_holdout,etc_fb_mixture,0.004536281385054574
D,2.284219028202011,2.284219028202011,0,0.01652892561983471,119,1,120,8.884063821362702e-05,0.003708310871434988,0.0010606773519902524,0.002119745671210758,0.0008016416390151589,0.005166133194132172,9.65498654982882e-07,6.921268867465681e-05,0.0018180872174112306,0.0018180872174112306,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.005166133194132172,DIRK_policy_sinh_M480_N960,call_T025_s060_r005_q010,all,0.0036196418484272376,0.0013007728598474853,5203,0.03570032946726675,101,stress_holdout,etc_fb_mixture,0.003226865352055051
D,2.284219028202011,2.284219028202011,0,0.01652892561983471,119,1,120,8.884063821362702e-05,0.003708310871434988,0.0010606773519902524,0.002119745671210758,0.0016220806583539227,0.005166133194132172,9.65498654982882e-07,6.921268867465681e-05,0.0018180872174112306,0.0018180872174112306,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.005166133194132172,DIRK_policy_sinh_M480_N960,call_T025_s060_r005_q010,exercise_region,0.003793014778560681,0.002097900419025058,1659,0.03570032946726675,101,stress_holdout,etc_fb_mixture,0.003226865352055051
D,2.284219028202011,2.284219028202011,0,0.01652892561983471,119,1,120,8.884063821362702e-05,0.003708310871434988,0.0010606773519902524,0.002119745671210758,0.0004175817256170185,0.002747989180778898,9.65498654982882e-07,6.921268867465681e-05,0.0018180872174112306,0.0018180872174112306,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.005166133194132172,DIRK_policy_sinh_M480_N960,call_T025_s060_r005_q010,continuation_region,0.0030224044216430115,0.0006510020814245178,3544,0.03570032946726675,101,stress_holdout,etc_fb_mixture,0.003226865352055051
D,2.284219028202011,2.284219028202011,0,0.01652892561983471,119,1,120,8.884063821362702e-05,0.003708310871434988,0.0010606773519902524,0.002119745671210758,0.001761955060013388,0.003981472435800382,9.65498654982882e-07,6.921268867465681e-05,0.0018180872174112306,0.0018180872174112306,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.005166133194132172,DIRK_policy_sinh_M480_N960,call_T025_s060_r005_q010,boundary_near,0.004117220461518821,0.001999026036462118,480,0.03570032946726675,101,stress_holdout,etc_fb_mixture,0.003226865352055051
D,2.284219028202011,2.284219028202011,0,0.01652892561983471,119,1,120,8.884063821362702e-05,0.003708310871434988,0.0010606773519902524,0.002119745671210758,5.427956286515667e-05,0.00010806178493304175,9.65498654982882e-07,6.921268867465681e-05,0.0018180872174112306,0.0018180872174112306,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.005166133194132172,DIRK_policy_sinh_M480_N960,call_T025_s060_r005_q010,payoff_kink_near,0.0007191991829426826,6.213117994954348e-05,605,0.03570032946726675,101,stress_holdout,etc_fb_mixture,0.003226865352055051
D,2.284219028202011,2.284219028202011,0,0.01652892561983471,119,1,120,8.884063821362702e-05,0.003708310871434988,0.0010606773519902524,0.002119745671210758,0.0,0.0,9.65498654982882e-07,6.921268867465681e-05,0.0018180872174112306,0.0018180872174112306,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.005166133194132172,DIRK_policy_sinh_M480_N960,call_T025_s060_r005_q010,maturity_row,0.0,0.0,43,0.03570032946726675,101,stress_holdout,etc_fb_mixture,0.003226865352055051
D,2.284219028202011,2.284219028202011,0,0.01652892561983471,119,1,120,8.884063821362702e-05,0.003708310871434988,0.0010606773519902524,0.002119745671210758,0.0008061867287659662,0.005166133194132172,9.65498654982882e-07,6.921268867465681e-05,0.0018180872174112306,0.0018180872174112306,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.005166133194132172,DIRK_policy_sinh_M480_N960,call_T025_s060_r005_q010,strict_interior,0.0035413464672643443,0.0012982194047275021,4084,0.03570032946726675,101,stress_holdout,etc_fb_mixture,0.003226865352055051
D,nan,nan,0,0.008264462809917356,120,0,120,0.0001198850659859413,0.0031237131564932955,0.001108563646201828,0.0012906450966746474,0.00045741388150496087,0.002049029973058447,9.741868155325665e-07,1.3428146375755838e-05,0.0014156760010022487,0.0014156760010022487,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.002049029973058447,DIRK_policy_sinh_M480_N960,call_T025_s060_r010_q010,all,0.0018444091673228335,0.0006643983029679583,5203,0.022465746635017922,101,stress_holdout,etc_fb_mixture,0.001163332238695073
D,nan,nan,0,0.008264462809917356,120,0,120,0.0001198850659859413,0.0031237131564932955,0.001108563646201828,0.0012906450966746474,0.00042284892435047504,0.002049029973058447,9.741868155325665e-07,1.3428146375755838e-05,0.0014156760010022487,0.0014156760010022487,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.002049029973058447,DIRK_policy_sinh_M480_N960,call_T025_s060_r010_q010,exercise_region,0.0012804649130543596,0.000703064434747259,1317,0.022465746635017922,101,stress_holdout,etc_fb_mixture,0.001163332238695073
