method_name,option_type,row_count,reference_found_count,predicted_found_count,comparable_error_count,reference_outside_sample_window_count,boundary_mae,boundary_rmse,boundary_max_abs_error,boundary_found_agreement_rate,missed_boundary_rate,false_boundary_rate,no_dividend_call_false_boundary_rate,review_flag,downstream_use_status
premium_implied_boundary,put,17424,17280,0,0,5093,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,REVIEW,stage4_boundary_diagnostic_only
premium_implied_boundary,call,17424,12515,0,0,4609,nan,nan,nan,0.2817378328741965,1.0,0.0,0.0,REVIEW,stage4_boundary_diagnostic_only
direct_boundary_head,put,17424,17280,17280,12187,5093,0.023906170019445522,0.03230500470498689,0.18687371947479037,1.0,0.0,0.0,nan,PASS,stage4_boundary_diagnostic_only
direct_boundary_head,call,17424,12515,12550,7906,4609,0.03198303760643601,0.046284055954615426,0.311119999923438,0.997876492194674,0.0,0.007333469138317376,0.0,PASS,stage4_boundary_diagnostic_only
