method_name,sample_id,regime_id,split,option_type,T,sigma,r,q,tau,tau_fraction,reference_found,reference_boundary,reference_in_sample_window,predicted_found,predicted_boundary,absolute_error,no_boundary_reason,is_no_dividend_call_control,downstream_use_status
premium_implied_boundary,28,put_T050_s060_r001_q000,train,put,0.5,0.6,0.01,0.0,0.21666666666666667,0.43333333333333335,True,0.5001986050734397,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,29,put_T050_s060_r001_q000,train,put,0.5,0.6,0.01,0.0,0.2583333333333333,0.5166666666666666,True,0.4670032435164675,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,30,put_T050_s060_r001_q000,train,put,0.5,0.6,0.01,0.0,0.2708333333333333,0.5416666666666666,True,0.46686147704813424,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,31,put_T050_s060_r001_q003,train,put,0.5,0.6,0.01,0.03,0.15416666666666667,0.30833333333333335,True,0.3002661097028503,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,32,put_T050_s060_r001_q006,train,put,0.5,0.6,0.01,0.06,0.09583333333333333,0.19166666666666665,True,0.134410233381089,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,33,put_T050_s060_r001_q006,train,put,0.5,0.6,0.01,0.06,0.3833333333333333,0.7666666666666666,True,0.13344652099402438,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,34,put_T050_s060_r005_q003,validation,put,0.5,0.6,0.05,0.03,0.075,0.15,True,0.6671379099779098,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,35,put_T050_s060_r005_q006,validation,put,0.5,0.6,0.05,0.06,0.3875,0.775,True,0.43390310689705663,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,36,put_T050_s060_r010_q003,train,put,0.5,0.6,0.1,0.03,0.4458333333333333,0.8916666666666666,True,0.535645486144186,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,37,put_T050_s060_r010_q006,train,put,0.5,0.6,0.1,0.06,0.18333333333333332,0.36666666666666664,True,0.628097689951508,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,38,put_T100_s020_r001_q003,train,put,1.0,0.2,0.01,0.03,0.08333333333333333,0.08333333333333333,True,0.3056544874712725,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,39,put_T100_s020_r005_q000,train,put,1.0,0.2,0.05,0.0,0.025,0.025,True,0.9333658990575656,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,40,put_T100_s020_r005_q006,train,put,1.0,0.2,0.05,0.06,0.4,0.4,True,0.7334209823096124,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
