case_name,case_family,variation_name,option_type,K,T,r,q,sigma,Smax,M,N,solver_name,solver_variant,premium_threshold,target_tau_fraction,target_tau,nearest_tau,time_index,target_moneyness,nearest_spot,actual_moneyness,value,payoff,continuation_premium,exercise_indicator,boundary_found_at_time,boundary_spot_at_time,boundary_distance,delta,gamma,boundary_near,kink_near,maturity_row,strict_interior,downstream_use_status
american_put_base,american_put,base,put,1,1,0.05,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.75,0.75,0.75,90,0.5,0.5,0.5,0.5,0.5,0,1,True,0.800017080078,0.300017080078,-1,0,False,False,False,True,pilot_diagnostic_only
american_put_base,american_put,base,put,1,1,0.05,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.75,0.75,0.75,90,0.8,0.8,0.8,0.2,0.2,0,1,True,0.800017080078,1.70800783305e-05,-0.970726129569,1.75643222587,True,False,False,False,pilot_diagnostic_only
american_put_base,american_put,base,put,1,1,0.05,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.75,0.75,0.75,90,1,1,1,0.0588110043217,0,0.0588110043217,0,True,0.800017080078,0.199982919922,-0.432914025248,2.45863542874,False,True,False,False,pilot_diagnostic_only
american_put_base,american_put,base,put,1,1,0.05,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.75,0.75,0.75,90,1.2,1.2,1.2,0.0108658441527,0,0.0108658441527,0,True,0.800017080078,0.399982919922,-0.103717437932,0.875457980732,False,False,False,True,pilot_diagnostic_only
american_put_base,american_put,base,put,1,1,0.05,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.75,0.75,0.75,90,1.5,1.5,1.5,0.000464788030492,0,0.000464788030492,0,True,0.800017080078,0.699982919922,-0.00538655163837,0.0584066891643,False,False,False,True,pilot_diagnostic_only
american_put_base,american_put,base,put,1,1,0.05,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.75,0.75,0.75,90,1.8,1.8,1.8,1.33362754808e-05,0,1.33362754808e-05,0,True,0.800017080078,0.999982919922,-0.000167030264795,0.00198733051697,False,False,False,True,pilot_diagnostic_only
american_put_base,american_put,base,put,1,1,0.05,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,1,1,1,120,0.5,0.5,0.5,0.5,0.5,0,1,True,0.766754125816,0.266754125816,-1,0,False,False,False,True,pilot_diagnostic_only
american_put_base,american_put,base,put,1,1,0.05,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,1,1,1,120,0.8,0.8,0.8,0.200381130316,0.2,0.000381130315896,0,True,0.766754125816,0.0332458741837,-0.940659340309,2.87440501282,True,False,False,False,pilot_diagnostic_only
american_put_base,american_put,base,put,1,1,0.05,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,1,1,1,120,1,1,1,0.0663013305386,0,0.0663013305386,0,True,0.766754125816,0.233245874184,-0.423820840439,2.15608443686,False,True,False,False,pilot_diagnostic_only
american_put_base,american_put,base,put,1,1,0.05,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,1,1,1,120,1.2,1.2,1.2,0.0159836795853,0,0.0159836795853,0,True,0.766754125816,0.433245874184,-0.125230147751,0.87497484262,False,False,False,True,pilot_diagnostic_only
american_put_base,american_put,base,put,1,1,0.05,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,1,1,1,120,1.5,1.5,1.5,0.00125380408386,0,0.00125380408386,0,True,0.766754125816,0.733245874184,-0.0114927047442,0.0995783829889,False,False,False,True,pilot_diagnostic_only
american_put_base,american_put,base,put,1,1,0.05,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,1,1,1,120,1.8,1.8,1.8,7.5367125996e-05,0,7.5367125996e-05,0,True,0.766754125816,1.03324587418,-0.000736411912703,0.00693462933346,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.01,0.01,0.00833333333333,1,0.5,0.5,0.5,0.5,0.5,0,1,True,0.900148625593,0.400148625593,-1,0,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.01,0.01,0.00833333333333,1,0.8,0.8,0.8,0.2,0.2,0,1,True,0.900148625593,0.100148625593,-1,9.99200722163e-14,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.01,0.01,0.00833333333333,1,1,1,1,0.013357121023,0,0.013357121023,0,True,0.900148625593,0.0998513744069,-0.493802292062,10.4523861701,False,True,False,False,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.01,0.01,0.00833333333333,1,1.2,1.2,1.2,1.65902412778e-06,0,1.65902412778e-06,0,True,0.900148625593,0.299851374407,-9.52813191569e-05,0.00348680464352,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.01,0.01,0.00833333333333,1,1.5,1.5,1.5,1.99926611742e-11,0,1.99926611742e-11,1,True,0.900148625593,0.599851374407,-8.54190216617e-10,2.68751636272e-08,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.01,0.01,0.00833333333333,1,1.8,1.8,1.8,1.56842886948e-15,0,1.56842886948e-15,1,True,0.900148625593,0.899851374407,-5.3410588473e-14,1.46320864046e-12,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.25,0.25,0.25,30,0.5,0.5,0.5,0.5,0.5,0,1,True,0.700035201101,0.200035201101,-1,0,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.25,0.25,0.25,30,0.8,0.8,0.8,0.20712985503,0.2,0.00712985503011,0,True,0.700035201101,0.099964798899,-0.85479088135,1.69058164527,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.25,0.25,0.25,30,1,1,1,0.0756230021613,0,0.0756230021613,0,True,0.700035201101,0.299964798899,-0.448735425583,2.01432896836,False,True,False,False,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.25,0.25,0.25,30,1.2,1.2,1.2,0.0198309201691,0,0.0198309201691,0,True,0.700035201101,0.499964798899,-0.147304552207,0.961331094248,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.25,0.25,0.25,30,1.5,1.5,1.5,0.00173477837011,0,0.00173477837011,0,True,0.700035201101,0.799964798899,-0.0152905450427,0.127007157105,False,False,False,True,pilot_diagnostic_only
