method,stable_second_order_fraction,median_value_max_error,median_delta_max_error,median_gamma_max_error,max_boundary_abs_error,median_runtime_seconds,all_converged
cn_quadratic,1.0,1.848736186360611e-08,1.8854715347349504e-07,1.6574169037220088e-06,6.459560191762748e-05,0.13328768749488518,True
rannacher_cn_quadratic,1.0,1.828950300930554e-08,1.8824905462233588e-07,1.6564993626788649e-06,6.459524159696528e-05,0.13149064546450973,True
dirk_lstable_quadratic,1.0,1.0255579635520817e-08,7.538847440757834e-08,6.946955011244427e-07,6.3820169043937724e-06,0.27736768749309704,True
lobatto_iiic_penalty_quadratic,0.9166666666666666,7.283107561484314e-08,4.4699028908801175e-07,3.7153483539720256e-06,0.006102595599720317,2.2966905204812065,False
