regime_id,split,option_type,q,early_exercise_risk,psor_median_seconds,policy_median_seconds,projected_lu_median_seconds,lu_over_policy_ratio,lu_over_psor_ratio
call_T025_s020_r001_q000,test,call,0.0,False,0.1208102915,0.013490771000000002,0.009191603999999999,0.6813253297383817,0.07608295523399179
call_T025_s020_r005_q000,test,call,0.0,False,0.130000646,0.013655354500000001,0.009296875,0.680822676555193,0.07151406770701739
call_T025_s020_r010_q000,test,call,0.0,False,0.138766771,0.013670521000000001,0.009331292000000001,0.6825849578081187,0.06724442698173037
call_T025_s040_r001_q000,test,call,0.0,False,0.15524975000000002,0.013580188,0.009286813000000001,0.6838501057570043,0.059818537549979955
call_T025_s040_r005_q000,test,call,0.0,False,0.17183691700000003,0.013619687000000002,0.009266312500000002,0.6803616338613362,0.0539250392859411
call_T025_s040_r010_q000,test,call,0.0,False,0.180841021,0.013664958500000001,0.009303354,0.68081831349872,0.0514449318443076
call_T025_s060_r001_q000,test,call,0.0,False,0.21481418700000002,0.013720812500000002,0.009315521,0.6789336272906578,0.04336548311867316
call_T025_s060_r001_q010,stress_holdout,call,0.1,True,0.114033354,0.0144731045,0.009313812000000001,0.6435255131336889,0.08167620852404289
call_T025_s060_r005_q000,test,call,0.0,False,0.231793979,0.013673687,0.0092897295,0.6793873152135191,0.04007752720790042
call_T025_s060_r005_q010,stress_holdout,call,0.1,True,0.114580292,0.014441854,0.009358,0.6479777457935803,0.081671985964218
call_T025_s060_r010_q000,test,call,0.0,False,0.24068429150000004,0.013657437500000001,0.009316145500000001,0.6821298285274965,0.0387069112069576
call_T025_s060_r010_q010,stress_holdout,call,0.1,True,0.1154989165,0.014957979500000001,0.0093011455,0.6218183077467113,0.08053015371793552
call_T050_s020_r001_q000,test,call,0.0,False,0.1472332705,0.013645625000000002,0.009266813,0.6791050611459717,0.06293966688731539
call_T050_s020_r005_q000,test,call,0.0,False,0.1581491665,0.013660749500000001,0.009340208000000001,0.6837258819510599,0.05905948293442319
call_T050_s020_r010_q000,test,call,0.0,False,0.16417991650000002,0.013670833,0.009306229,0.6807360604873163,0.05668311446607416
call_T050_s040_r001_q000,test,call,0.0,False,0.20724187500000002,0.013681396,0.009281521000000001,0.6784045283098304,0.0447859343098493
call_T050_s040_r005_q000,test,call,0.0,False,0.2245531665,0.0137209375,0.009335145500000001,0.6803577015054547,0.041572094686983634
call_T050_s040_r010_q000,test,call,0.0,False,0.23231441700000002,0.013650562500000001,0.009364,0.6859790576395661,0.04030744247783813
call_T050_s060_r001_q000,test,call,0.0,False,0.36881254150000004,0.013685520500000001,0.009252833500000002,0.6761038792788335,0.025088174774013212
call_T050_s060_r001_q010,stress_holdout,call,0.1,True,0.132131958,0.015017479,0.009364770500000001,0.6235913830810086,0.0708743792323126
call_T050_s060_r005_q000,test,call,0.0,False,0.4073231875,0.013621792,0.0093231875,0.6844317913531494,0.022888919133777524
call_T050_s060_r005_q010,stress_holdout,call,0.1,True,0.13401852050000002,0.014785625,0.009337395500000002,0.6315184850150062,0.06967242635692282
call_T050_s060_r010_q000,test,call,0.0,False,0.42624085450000004,0.013727563000000002,0.0093008955,0.6775343518729434,0.02182075087783496
call_T050_s060_r010_q010,stress_holdout,call,0.1,True,0.135048167,0.0148595625,0.009292896,0.6253815346178597,0.06881171515641527
call_T100_s020_r001_q000,test,call,0.0,False,0.173316417,0.0136972705,0.009327479,0.6809735560088412,0.053817631136466426
call_T100_s020_r005_q000,test,call,0.0,False,0.19093902150000003,0.013659645500000001,0.0092974165,0.6806484472821788,0.0486931190228185
call_T100_s020_r010_q000,test,call,0.0,False,0.1989914995,0.0136081045,0.009307875,0.6839949678516946,0.04677523926091124
call_T100_s040_r001_q000,test,call,0.0,False,0.35027385450000004,0.0136881875,0.009306125000000002,0.6798653948888413,0.02656814055757622
call_T100_s040_r005_q000,test,call,0.0,False,0.383860688,0.013693333500000002,0.0092968335,0.678931357364516,0.024219290463002557
call_T100_s040_r010_q000,test,call,0.0,False,0.400044458,0.013684458,0.0093031875,0.6798360227346966,0.023255384030341948
call_T100_s060_r001_q000,test,call,0.0,False,0.6827331455000001,0.013703604000000001,0.0092931255,0.6781519299594472,0.01361165128901743
