regime_id,split,option_type,q,early_exercise_risk,arm,repeat,measured_total_seconds,internal_total_seconds,solver_setup_seconds,initialization_seconds,lcp_finish_seconds,marcher_other_seconds,obstacle_transform_seconds,projected_sweep_seconds,inverse_transform_seconds,residual_audit_seconds,total_sweeps_or_iterations,converged,max_normalized_lcp_residual
call_T025_s020_r001_q000,test,call,0.0,False,projected_lu_single,0,0.009081459,0.009052208042703569,8.27909680083394e-05,0.0,0.006763166864402592,0.0022062502102926373,0.00037146289832890034,0.004596170852892101,3.050430677831173e-05,0.0017117619281634688,120,True,3.4569559877883147e-16
call_T025_s020_r001_q000,test,call,0.0,False,psor,0,0.120417542,0.12037112493999302,0.0,7.774820551276207e-05,0.11805833003018051,0.002235046704299748,0.0,0.0,0.0,0.0,1680,True,5.041747231175161e-13
call_T025_s020_r001_q000,test,call,0.0,False,policy_iteration,0,0.013932042,0.013893667026422918,0.0,7.728941272944212e-05,0.011581658502109349,0.002234719111584127,0.0,0.0,0.0,0.0,120,True,3.4571738862222505e-16
call_T025_s020_r001_q000,test,call,0.0,False,policy_iteration,1,0.014014,0.013976625050418079,0.0,7.774448022246361e-05,0.011656541610136628,0.002242338960058987,0.0,0.0,0.0,0.0,120,True,3.4571738862222505e-16
call_T025_s020_r001_q000,test,call,0.0,False,projected_lu_single,1,0.011277917,0.011136083048768342,9.558408055454493e-05,0.0,0.007105792406946421,0.003934706561267376,0.00039517018012702465,0.0048081312561407685,3.1877076253294945e-05,0.001812258386053145,120,True,3.4569559877883147e-16
call_T025_s020_r001_q000,test,call,0.0,False,psor,1,0.121270083,0.1211949170101434,0.0,7.7082309871912e-05,0.11882874381262809,0.002289090887643397,0.0,0.0,0.0,0.0,1680,True,5.041747231175161e-13
call_T025_s020_r001_q000,test,call,0.0,False,psor,2,0.121924375,0.12186054198537022,0.0,8.516025263816118e-05,0.11941325652878731,0.0023621252039447427,0.0,0.0,0.0,0.0,1680,True,5.041747231175161e-13
call_T025_s020_r001_q000,test,call,0.0,False,projected_lu_single,2,0.009704959,0.009642167016863823,9.129208046942949e-05,0.0,0.007059424766339362,0.0024914501700550318,0.0004119647201150656,0.004697251599282026,3.504636697471142e-05,0.0018531329696998,120,True,3.4569559877883147e-16
call_T025_s020_r001_q000,test,call,0.0,False,policy_iteration,2,0.014149583,0.014053542050532997,0.0,8.161715231835842e-05,0.011655705282464623,0.0023162196157500148,0.0,0.0,0.0,0.0,120,True,3.4571738862222505e-16
call_T025_s020_r001_q000,test,call,0.0,False,projected_lu_single,3,0.009401917000000001,0.009337666910141706,0.0001015419838950038,0.0,0.006905080983415246,0.0023310439428314567,0.0003861293662339449,0.0046721771359443665,2.929579932242632e-05,0.0017628875793889165,120,True,3.4569559877883147e-16
