arm,sample_count,median_total_seconds,p95_total_seconds,p99_total_seconds,median_prediction_seconds,median_lcp_finish_seconds,median_total_iterations,all_converged
A_previous_psor,2010,0.3115776664344594,1.6284478293033318,1.727136940037599,0.0,0.30891904776217416,3360.0,True
B_previous_policy,2010,0.015981458534952253,0.02099762330763042,0.02389854070032016,0.0,0.013410725863650441,120.0,True
C_mlp_psor,2010,0.3230514375609346,1.6271519060072024,1.6982544060586953,0.0015112499822862446,0.31654379225801677,3360.0,True
D_mlp_policy,2010,0.023081813007593155,0.03360507311299443,0.03911466095480137,0.0015372500056400895,0.01869456667918712,179.0,True
