regime_id,split,arm,repeat,option_type,prediction_seconds,projection_seconds,lcp_finish_seconds,marcher_other_seconds,total_seconds,converged,total_iterations,mean_iterations,max_iterations,max_normalized_lcp_residual,max_normalized_obstacle_violation
call_T025_s020_r001_q000,test,D_mlp_policy,0,call,0.001372082973830402,0.00020171108189970255,0.014433120843023062,0.0021522091701626778,0.018159124068915844,True,157,1.3083333333333333,2,3.4571738862222505e-16,0.0
call_T025_s020_r001_q000,test,C_mlp_psor,0,call,0.0012385419104248285,0.00020837003830820322,0.11855445243418217,0.002334802527911961,0.12233616691082716,True,1680,14.0,14,5.041747231175161e-13,0.0
call_T025_s020_r001_q000,test,A_previous_psor,0,call,0.0,8.020875975489616e-05,0.11816008423920721,0.002140164957381785,0.12038045795634389,True,1680,14.0,14,5.041747231175161e-13,0.0
call_T025_s020_r001_q000,test,B_previous_policy,0,call,0.0,7.574993651360273e-05,0.011309537687338889,0.002184921409934759,0.01357020903378725,True,120,1.0,1,3.4571738862222505e-16,0.0
call_T025_s020_r001_q000,test,B_previous_policy,1,call,0.0,7.816439028829336e-05,0.011283339699730277,0.0021259539062157273,0.013487457996234298,True,120,1.0,1,3.4571738862222505e-16,0.0
call_T025_s020_r001_q000,test,A_previous_psor,1,call,0.0,7.783039472997189e-05,0.11814187734853476,0.0021271262085065246,0.12034683395177126,True,1680,14.0,14,5.041747231175161e-13,0.0
call_T025_s020_r001_q000,test,D_mlp_policy,1,call,0.0013642499689012766,0.00020804430823773146,0.014390668249689043,0.00212707940954715,0.0180900419363752,True,157,1.3083333333333333,2,3.4571738862222505e-16,0.0
call_T025_s020_r001_q000,test,C_mlp_psor,1,call,0.0012672079028561711,0.00021229113917797804,0.1185258332407102,0.0021336255595088005,0.12213895784225315,True,1680,14.0,14,5.041747231175161e-13,0.0
call_T025_s020_r001_q000,test,A_previous_psor,2,call,0.0,7.933005690574646e-05,0.11997058254200965,0.0021415873197838664,0.12219149991869926,True,1680,14.0,14,5.041747231175161e-13,0.0
call_T025_s020_r001_q000,test,B_previous_policy,2,call,0.0,7.761456072330475e-05,0.01132778765168041,0.002160722855478525,0.01356612506788224,True,120,1.0,1,3.4571738862222505e-16,0.0
call_T025_s020_r001_q000,test,D_mlp_policy,2,call,0.0013586250133812428,0.00020787992980331182,0.01446425390895456,0.0021221571369096637,0.01815291598904878,True,157,1.3083333333333333,2,3.4571738862222505e-16,0.0
call_T025_s020_r001_q000,test,C_mlp_psor,2,call,0.0012760830577462912,0.0002101321006193757,0.11900792364031076,0.002123527228832245,0.12261766602750868,True,1680,14.0,14,5.041747231175161e-13,0.0
call_T025_s020_r001_q000,test,B_previous_policy,3,call,0.0,7.700128480792046e-05,0.011545460671186447,0.002138329087756574,0.013760791043750942,True,120,1.0,1,3.4571738862222505e-16,0.0
call_T025_s020_r001_q000,test,D_mlp_policy,3,call,0.0013360410230234265,0.00020512728951871395,0.014497210388071835,0.0021112043177708983,0.018149583018384874,True,157,1.3083333333333333,2,3.4571738862222505e-16,0.0
