S_over_K,tau_over_T,V_over_K,Delta,scaled_Gamma,payoff_over_K,continuation_premium_over_K
0.5,1,0.52639626706711773,-0.77163235544877828,0.90809161175077002,0.5,0.026396267067117729
0.50249999999999995,1,0.52447002178571944,-0.76936473365103752,0.90601802160211198,0.49750000000000005,0.026970021785719389
0.505,1,0.52254943915450913,-0.76710220525590489,0.90401653249000191,0.495,0.027549439154509137
0.50749999999999995,1,0.52063450666305855,-0.76484459269869409,0.90208499068161696,0.49250000000000005,0.028134506663058501
0.51000000000000001,1,0.51872521223809998,-0.76259172382181051,0.90022122534144577,0.48999999999999999,0.028725212238099984
0.51249999999999996,1,0.51682154422996396,-0.76034343190944087,0.89842305489537166,0.48750000000000004,0.029321544229963914
0.51500000000000001,1,0.51492349139894633,-0.75809955570700027,0.89668829286546403,0.48499999999999999,0.029923491398946345
0.51749999999999996,1,0.5130310429016457,-0.75585993942661855,0.89501475320794466,0.48250000000000004,0.030531042901645655
0.52000000000000002,1,0.51114418827730312,-0.7536244327398699,0.89340025518532262,0.47999999999999998,0.031144188277303142
0.52249999999999996,1,0.50926291743417529,-0.75139289075887628,0.89184262780225909,0.47750000000000004,0.031762917434175253
0.52500000000000002,1,0.5073872206359672,-0.74916517400683214,0.89033971383328703,0.47499999999999998,0.032387220635967218
0.52749999999999997,1,0.5055170884883522,-0.74694114837894865,0.88888937346913333,0.47250000000000003,0.033017088488352164
0.53000000000000003,1,0.50365251192559901,-0.74472068509472633,0.88748948760699986,0.46999999999999997,0.033652511925599038
0.53249999999999997,1,0.50179348219733,-0.74250366064242546,0.88613796080887519,0.46750000000000003,0.034293482197329972
0.53500000000000003,1,0.4999399908554244,-0.74028995671652942,0.88483272395061996,0.46499999999999997,0.03493999085542443
0.53749999999999998,1,0.49809202974108951,-0.7380794601489522,0.88357173658336752,0.46250000000000002,0.035592029741089493
0.54000000000000004,1,0.49624959097210686,-0.73587206283467665,0.882352989027537,0.45999999999999996,0.036249590972106893
0.54249999999999998,1,0.49441266693027536,-0.73366766165247665,0.88117450421865651,0.45750000000000002,0.03691266693027534
0.54500000000000004,1,0.49258125024905247,-0.73146615838131268,0.88003433932302844,0.45499999999999996,0.037581250249052511
0.54749999999999999,1,0.49075533380141423,-0.72926745961295814,0.87893058714025329,0.45250000000000001,0.038255333801414215
0.55000000000000004,1,0.4889349106879356,-0.72707147666137106,0.87786137730859781,0.44999999999999996,0.038934910687935642
0.55249999999999999,1,0.4871199742251005,-0.72487812546928176,0.87682487732821035,0.44750000000000001,0.039619974225100496
0.55500000000000005,1,0.48531051793384961,-0.72268732651243472,0.87581929341629206,0.44499999999999995,0.040310517933849654
0.5575,1,0.48350653552837025,-0.7204990047018921,0.8748428712074332,0.4425,0.041006535528370247
0.56000000000000005,1,0.48170802090513015,-0.71831308928475968,0.87389389631148195,0.43999999999999995,0.041708020905130205
0.5625,1,0.47991496813216455,-0.71612951374369482,0.87297069474056521,0.4375,0.042414968132164554
0.56499999999999995,1,0.47812737143861278,-0.7139482156954885,0.87207163321606362,0.43500000000000005,0.043127371438612727
0.5675,1,0.47634522520451134,-0.71176913678902531,0.87119511936568861,0.4325,0.04384522520451134
0.57000000000000006,1,0.47456852395084043,-0.70959222260287846,0.8703396018201226,0.42999999999999994,0.044568523950840488
0.57250000000000001,1,0.47279726232982877,-0.70741742254277573,0.86950357021801794,0.42749999999999999,0.04529726232982878
0.57499999999999996,1,0.47103143511551343,-0.70524468973916177,0.86868555512760648,0.42500000000000004,0.046031435115513386
