regime_id,option_type,q,repeat,order_position,method,elapsed_seconds,solver_reported_seconds,converged
put_T100_s020_r005_q003,put,0.03,27,0,published_dirk_p,0.602578583,0.602131332969293,True
put_T100_s020_r005_q003,put,0.03,27,1,dirk_policy_sinh,0.628648,0.6281612501479685,True
put_T100_s020_r005_q003,put,0.03,28,0,published_dirk_p,0.619364667,0.6188956249970943,True
put_T100_s020_r005_q003,put,0.03,28,1,dirk_policy_sinh,0.64165675,0.6411798750050366,True
put_T100_s020_r005_q003,put,0.03,29,0,dirk_policy_sinh,0.600877916,0.6004588329233229,True
put_T100_s020_r005_q003,put,0.03,29,1,published_dirk_p,0.645489084,0.6450304579921067,True
call_T100_s020_r005_q006,call,0.06,0,0,published_dirk_p,0.588906583,0.5887454999610782,True
call_T100_s020_r005_q006,call,0.06,0,1,dirk_policy_sinh,0.601540125,0.6011005418840796,True
call_T100_s020_r005_q006,call,0.06,1,0,published_dirk_p,0.588723834,0.5880808748770505,True
call_T100_s020_r005_q006,call,0.06,1,1,dirk_policy_sinh,0.600875416,0.6004384169355035,True
call_T100_s020_r005_q006,call,0.06,2,0,published_dirk_p,0.585390083,0.5849611659068614,True
call_T100_s020_r005_q006,call,0.06,2,1,dirk_policy_sinh,0.60126875,0.6008419170975685,True
call_T100_s020_r005_q006,call,0.06,3,0,dirk_policy_sinh,0.595046916,0.5946162501350045,True
call_T100_s020_r005_q006,call,0.06,3,1,published_dirk_p,0.595938292,0.5955013749189675,True
call_T100_s020_r005_q006,call,0.06,4,0,dirk_policy_sinh,0.603834542,0.6034043750260025,True
call_T100_s020_r005_q006,call,0.06,4,1,published_dirk_p,0.588230083,0.5877777498681098,True
call_T100_s020_r005_q006,call,0.06,5,0,published_dirk_p,0.590056917,0.5896199170965701,True
call_T100_s020_r005_q006,call,0.06,5,1,dirk_policy_sinh,0.605507,0.6050660419277847,True
call_T100_s020_r005_q006,call,0.06,6,0,published_dirk_p,0.588029541,0.5875812082085758,True
