regime_id,option_type,q,M,N,query_nodes,full_price_nodes,converged,runtime_seconds,price_max_error,price_rmse,delta_max_error,delta_rmse,gamma_max_error,gamma_rmse,full_price_max_error,full_price_rmse,price_empirical_order,delta_empirical_order,gamma_empirical_order,boundary_found,reference_boundary_found,boundary_abs_error,max_obstacle_violation,max_normalized_obstacle_violation,max_normalized_equation_violation,max_normalized_complementarity,max_normalized_lcp_residual,maximum_stage_iterations,total_penalty_iterations
put_T100_s020_r005_q003,put,0.03,120,240,36,481,True,0.049332208931446075,7.233996122041342e-05,4.329262124379624e-05,0.0008363369027144518,0.0003454599055288597,0.021365779390781103,0.006541623907663057,7.285523322456133e-05,1.5763440592926365e-05,nan,nan,nan,True,True,0.009462757509330899,4.1087244717630256e-11,4.1087244717630256e-11,5.551115123125783e-17,1.6881663309572212e-14,4.1087244717630256e-11,2,497
put_T100_s020_r005_q003,put,0.03,240,480,36,481,True,0.16115437517873943,1.4017847541784867e-05,1.0229486578831116e-05,0.00011445356246253535,8.0842338536464e-05,0.004501367317213845,0.0011257243428331911,2.429749003277082e-05,4.134253232876245e-06,nan,nan,nan,True,True,6.315929024613975e-05,2.068845095237748e-11,2.068845095237748e-11,8.326672684688674e-17,4.2801048589828374e-15,2.068845095237748e-11,2,1002
put_T100_s020_r005_q003,put,0.03,480,960,36,481,True,0.5873610409907997,5.471925973249414e-06,3.185152815223201e-06,2.1102238584203015e-05,1.1143444924490327e-05,0.0006329171728758354,0.00015141165585634583,5.667320067959114e-06,1.183702232066582e-06,2.54351153414596,3.2362866843518883,2.699549182229822,True,True,0.00011793222416422999,1.0380474257942751e-11,1.0380474257942751e-11,1.1102230246251565e-16,1.0775359618487366e-15,1.0380474257942751e-11,2,2004
call_T100_s020_r005_q006,call,0.06,120,240,36,481,True,0.06067104218527675,7.47587222961546e-05,4.592071277663422e-05,0.0006545807489112265,0.00031141517810091796,0.003226954443543484,0.001626437312111211,7.525227602704979e-05,1.7565441712178114e-05,nan,nan,nan,True,True,0.0022058935937625535,1.4010126392349775e-10,5.304440003755897e-11,4.183535102836701e-17,2.796127927163043e-14,5.304440003755897e-11,2,507
call_T100_s020_r005_q006,call,0.06,240,480,36,481,True,0.185641499934718,1.4913803377647472e-05,1.1365412489645075e-05,9.183574813320661e-05,6.656209143076379e-05,0.000451801215897385,0.0003013157720432411,1.799429635607544e-05,4.086665430196004e-06,nan,nan,nan,True,True,0.002241732987142031,7.438316629304609e-11,2.6454208929085935e-11,5.873642521809638e-17,6.9211287232782384e-15,2.6454208929085935e-11,2,1019
call_T100_s020_r005_q006,call,0.06,480,960,36,481,True,0.6535359581466764,6.062442928396472e-06,3.5977935934694736e-06,1.8523288251887093e-05,1.1282403458041671e-05,0.00014403372604232523,8.261262436714456e-05,5.916085124624271e-06,1.2404818701154708e-06,2.306383547044508,2.8135858088355072,2.953391362521581,True,True,0.002279086435496014,3.835820550079916e-11,1.3210720373736503e-11,9.382632399528662e-17,1.7091998069795828e-15,1.3210720373736503e-11,2,2039
call_T100_s020_r005_q000,call,0.0,120,240,36,481,True,0.04776474996469915,0.00010825785785138764,5.979827590003652e-05,0.0005449025383731376,0.00038074643867933434,0.005764165204437788,0.002301508853987593,0.00010809210823929313,2.445910134267649e-05,nan,nan,nan,False,False,0.0,0.0,0.0,3.3575815493533923e-16,5.761264367603975e-18,3.3575815493533923e-16,1,478
call_T100_s020_r005_q000,call,0.0,240,480,36,481,True,0.15200479188933969,1.6479168466643213e-05,1.3359079629764878e-05,0.00013467526826460574,9.6742660306963e-05,0.0007504143362042637,0.0003956578665063064,2.6443699890424388e-05,5.802672645656537e-06,nan,nan,nan,False,False,0.0,0.0,0.0,3.857651032251277e-16,6.262442502957921e-18,3.857651032251277e-16,1,958
call_T100_s020_r005_q000,call,0.0,480,960,36,481,True,0.5877162499818951,6.921260846476374e-06,4.616362961310462e-06,3.003119442690494e-05,1.6430969739068726e-05,0.00021942602461644256,0.00011087421302734366,7.890089883211965e-06,1.6159916738060213e-06,3.0784469159752925,2.00225960314738,2.9857329978497344,False,False,0.0,0.0,0.0,5.8942030229105635e-16,1.0669653380681562e-17,5.8942030229105635e-16,1,1918
put_T025_s020_r001_q000,put,0.0,120,240,32,481,True,0.04991279193200171,0.00014377230317742795,9.030941049560613e-05,0.002749543582940439,0.0016485089306911178,0.021014510897823246,0.009960179733119578,0.00015912877968862066,2.9005851245011912e-05,nan,nan,nan,True,True,2.3285188730515216e-05,2.079225680517993e-12,2.079225680517993e-12,5.551115123125783e-17,4.3226957489033423e-17,2.079225680517993e-12,2,495
