arm,boundary_conditional_mae,boundary_conditional_rmse,boundary_false_count,boundary_found_rate,boundary_missed_count,boundary_predicted_found,boundary_reference_found,complementarity_max,delta_rmse,equation_max,fb_max,mae,max_abs_error,max_normalized_complementarity,max_normalized_equation_violation,max_normalized_lcp_residual,max_normalized_obstacle_violation,network_spec,obstacle_max,reference_source,regime_id,region,relative_l2,rmse,sample_count,scaled_gamma_rmse,seed,split,variant,vi_p95
C,nan,nan,0,0.008264462809917356,120,0,120,0.01299883283858176,0.08439785535135047,0.010775034509769715,0.018738762351675597,0.04439018120133674,0.09227411995159918,5.442002433152253e-06,6.099177147900426e-06,0.001266445819637024,0.001266445819637024,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.0057770096800326826,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q010,all,0.13866409227258958,0.04976301364875869,5203,0.6531047575334356,101,stress_holdout,soft_lcp,0.01626389125306509
C,nan,nan,0,0.008264462809917356,120,0,120,0.01299883283858176,0.08439785535135047,0.010775034509769715,0.018738762351675597,0.024961500717430172,0.05522472465270889,5.442002433152253e-06,6.099177147900426e-06,0.001266445819637024,0.001266445819637024,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.0057770096800326826,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q010,exercise_region,0.051834479236089206,0.028413921557807267,1831,0.6531047575334356,101,stress_holdout,soft_lcp,0.01626389125306509
C,nan,nan,0,0.008264462809917356,120,0,120,0.01299883283858176,0.08439785535135047,0.010775034509769715,0.018738762351675597,0.05493997775116857,0.09227411995159918,5.442002433152253e-06,6.099177147900426e-06,0.001266445819637024,0.001266445819637024,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.0057770096800326826,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q010,continuation_region,0.3084223631402823,0.05816038243630124,3372,0.6531047575334356,101,stress_holdout,soft_lcp,0.01626389125306509
C,nan,nan,0,0.008264462809917356,120,0,120,0.01299883283858176,0.08439785535135047,0.010775034509769715,0.018738762351675597,0.045313528310545685,0.062317474599448974,5.442002433152253e-06,6.099177147900426e-06,0.001266445819637024,0.001266445819637024,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.0057770096800326826,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q010,boundary_near,0.10887849138851752,0.04742159636360877,480,0.6531047575334356,101,stress_holdout,soft_lcp,0.01626389125306509
C,nan,nan,0,0.008264462809917356,120,0,120,0.01299883283858176,0.08439785535135047,0.010775034509769715,0.018738762351675597,0.0405947505835604,0.07127512915210446,5.442002433152253e-06,6.099177147900426e-06,0.001266445819637024,0.001266445819637024,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.0057770096800326826,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q010,payoff_kink_near,0.5441832592624516,0.04593055429475706,605,0.6531047575334356,101,stress_holdout,soft_lcp,0.01626389125306509
C,nan,nan,0,0.008264462809917356,120,0,120,0.01299883283858176,0.08439785535135047,0.010775034509769715,0.018738762351675597,0.002321798016263339,0.01895276906811212,5.442002433152253e-06,6.099177147900426e-06,0.001266445819637024,0.001266445819637024,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.0057770096800326826,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q010,maturity_row,0.010737629561385326,0.003820770699368875,43,0.6531047575334356,101,stress_holdout,soft_lcp,0.01626389125306509
C,nan,nan,0,0.008264462809917356,120,0,120,0.01299883283858176,0.08439785535135047,0.010775034509769715,0.018738762351675597,0.045170774789299734,0.09227411995159918,5.442002433152253e-06,6.099177147900426e-06,0.001266445819637024,0.001266445819637024,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.0057770096800326826,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q010,strict_interior,0.135991310561912,0.05075576027752843,4087,0.6531047575334356,101,stress_holdout,soft_lcp,0.01626389125306509
C,nan,nan,0,0.008264462809917356,120,0,120,0.012975410165652923,0.067393161240816,0.010278181238915218,0.020137628288981302,0.03962626985777846,0.08888289591936839,7.69542137990793e-06,3.6545551734301645e-06,0.001194279124525749,0.001194279124525749,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.005182717741933494,DIRK_policy_sinh_M480_N960,call_T025_s060_r005_q010,all,0.12305637107415845,0.04422216186779293,5203,0.779292574779172,101,stress_holdout,soft_lcp,0.017264387431881772
C,nan,nan,0,0.008264462809917356,120,0,120,0.012975410165652923,0.067393161240816,0.010278181238915218,0.020137628288981302,0.02233636958013692,0.051797028573659976,7.69542137990793e-06,3.6545551734301645e-06,0.001194279124525749,0.001194279124525749,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.005182717741933494,DIRK_policy_sinh_M480_N960,call_T025_s060_r005_q010,exercise_region,0.044704175749385136,0.024725690384046713,1659,0.779292574779172,101,stress_holdout,soft_lcp,0.017264387431881772
C,nan,nan,0,0.008264462809917356,120,0,120,0.012975410165652923,0.067393161240816,0.010278181238915218,0.020137628288981302,0.04771993367284825,0.08888289591936839,7.69542137990793e-06,3.6545551734301645e-06,0.001194279124525749,0.001194279124525749,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.005182717741933494,DIRK_policy_sinh_M480_N960,call_T025_s060_r005_q010,continuation_region,0.23604162401057358,0.050841504675331876,3544,0.779292574779172,101,stress_holdout,soft_lcp,0.017264387431881772
