regime_id,option_type,genuine_early_exercise,policy_median_seconds,projected_lu_median_seconds,projected_lu_over_policy_ratio,speedup_policy_over_projected_lu,runtime_gate_passed
put_T100_s020_r005_q003,put,True,0.6038978335,1.0990466460000001,1.8199214917368967,0.5494742517962244,False
call_T100_s020_r005_q006,call,True,0.665242396,1.1551597290000002,1.736449354319264,0.5758878008809117,False
call_T100_s020_r005_q000,call,False,0.594352542,1.037418604,1.745460026988494,0.5729148674492057,False
put_T025_s020_r001_q000,put,True,0.6005988125,1.076766896,1.7928222194079013,0.5577797894150713,False
call_T025_s020_r001_q000,call,False,0.602338917,1.051599125,1.7458595075303762,0.572783775376382,False
put_T200_s060_r010_q010,put,True,0.637668208,1.0958406875,1.7185123450595485,0.5818986420870598,False
call_T200_s060_r010_q010,call,True,0.685749062,1.1839353125,1.7264847713346199,0.5792115960727372,False
put_T200_s020_r001_q010,put,True,0.6660440625,1.2533938755,1.8818482831231604,0.5313924661027275,False
call_T200_s020_r010_q010,call,True,0.6679925210000001,1.1626100625000002,1.7404537116067502,0.574562824240135,False
put_T050_s060_r005_q003,put,True,0.6716846875,1.2039231665,1.7923933489997865,0.557913250770559,False
call_T050_s060_r005_q010,call,True,0.6651208745000001,1.150625979,1.7299501836639466,0.578051327398371,False
call_T100_s060_r001_q006,call,True,0.670352375,1.1671004790000001,1.7410253510327314,0.5743741751990147,False
