regime_id,option_type,q,genuine_early_exercise,method,repeat_index,randomized_order_index,measured_seconds,reported_total_seconds,converged,all_structural_checks_passed,failure_reason
put_T100_s020_r005_q003,put,0.03,True,policy_iteration,25,0,0.599519542,0.5989977079443634,True,True,
put_T100_s020_r005_q003,put,0.03,True,projected_lu_single,25,1,1.0828243750000002,1.0824196659959853,True,True,
put_T100_s020_r005_q003,put,0.03,True,policy_iteration,26,0,0.598916458,0.59840291691944,True,True,
put_T100_s020_r005_q003,put,0.03,True,projected_lu_single,26,1,1.0809388340000001,1.0805460000410676,True,True,
put_T100_s020_r005_q003,put,0.03,True,policy_iteration,27,0,0.598473541,0.5979557919781655,True,True,
put_T100_s020_r005_q003,put,0.03,True,projected_lu_single,27,1,1.081610916,1.0812162500806153,True,True,
put_T100_s020_r005_q003,put,0.03,True,policy_iteration,28,0,0.5996683340000001,0.5991452091839164,True,True,
put_T100_s020_r005_q003,put,0.03,True,projected_lu_single,28,1,1.4703842500000002,1.4699990830849856,True,True,
put_T100_s020_r005_q003,put,0.03,True,policy_iteration,29,0,0.641921084,0.641311707906425,True,True,
put_T100_s020_r005_q003,put,0.03,True,projected_lu_single,29,1,1.154552,1.1541580420453101,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,0,0,0.6895509590000001,0.6887544170022011,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,0,1,1.1639102920000002,1.1634189158212394,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,1,0,1.156549583,1.155960459029302,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,1,1,0.669218792,0.6686042079236358,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,2,0,1.151404,1.1509025830309838,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,2,1,0.7053638750000001,0.7047697908710688,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,3,0,1.156222625,1.1557755838148296,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,3,1,0.692043666,0.6913860000204295,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,4,0,0.6681686250000001,0.667745083803311,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,4,1,1.2030460410000001,1.2025857500266284,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,5,0,0.6623161670000001,0.661579041974619,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,5,1,1.162518833,1.1620699591003358,True,True,
