regime_id,method,value_grid_sha256,final_values_sha256,spot_grid_sha256,tau_grid_sha256
call_T025_s020_r001_q000,projected_lu_minus_policy,05e4a1dc0b17d8a6981c24516ac36ddcf5cd2293c9c800323138a7ec38e30db4,f7f90d908a3604894c6df7b28d43fb78ffea405ecf547daac2cb9462b5dc0777,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,3ca6e2aaabf4c3ddf91e29fc72fb751cbea019bdc36d9e47e81e830e9e93a0f8
put_T200_s060_r010_q010,policy_iteration,9947439b585a923046810db0b1f766e274da82b88e72a380cf05ec1029ee69e0,1852716ca88f0079eda940143ec455024d8cb13a6619e835a05c0d60b960adf3,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bd5f8cbbcc677c9c7a2ab5e996f2a5afdd8e57ca24e0a2a0eda918457410a351
put_T200_s060_r010_q010,projected_lu_single,a26c5eb425eb53a590ac8c562574ca2bad511c98121332dcc37d9c3143f3f298,24d3d66218df1b4c558195f806f701e1311251a1640503d58fd046145c21c649,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bd5f8cbbcc677c9c7a2ab5e996f2a5afdd8e57ca24e0a2a0eda918457410a351
put_T200_s060_r010_q010,projected_lu_minus_policy,56ab0f97c3d9d97d7f4b5e7c47cf3c9e62f18c58b3d059d229436cb6fb8e6523,7e178314d6fc7e930d5e197b57d0d6dba56ea06f78496b346039c65eaa8cb8fc,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bd5f8cbbcc677c9c7a2ab5e996f2a5afdd8e57ca24e0a2a0eda918457410a351
call_T200_s060_r010_q010,policy_iteration,d603a8439b6fbe6c913bae7037108a7e42ce81e1b13ae5825030a731911ea74d,0c13651880f6caadb812bdba3c64f0285049c321df5189492e605f32e0246be1,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bd5f8cbbcc677c9c7a2ab5e996f2a5afdd8e57ca24e0a2a0eda918457410a351
call_T200_s060_r010_q010,projected_lu_single,ecde5b69c5b5ed97a40566a4d3fa60997902dc248e2eca5ceb12b3f76f6fcce7,fb639ae8bd8939c7fcd0d05d1dcd9bfcb687cf8551dece4f5038893da609ab42,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bd5f8cbbcc677c9c7a2ab5e996f2a5afdd8e57ca24e0a2a0eda918457410a351
call_T200_s060_r010_q010,projected_lu_minus_policy,5c251f38132991ecbc865a7f5647c9c6b0a6dcbb6870b5fc8095da70fcd02aae,a7985fcbe9a91d90838643368c8891739e2a1125b2cda2bf009206333f9a20bd,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bd5f8cbbcc677c9c7a2ab5e996f2a5afdd8e57ca24e0a2a0eda918457410a351
put_T200_s020_r001_q010,policy_iteration,94d78e688ccdb45b1db0db274168a186463ef61894d1000a2ba7bdba60c2e459,c2c7be8226e12de79551975f1cad2917c61cdfe0028f181484b50a4c582bbc50,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bd5f8cbbcc677c9c7a2ab5e996f2a5afdd8e57ca24e0a2a0eda918457410a351
put_T200_s020_r001_q010,projected_lu_single,70a02f52be37d91b2d1ef8008a6df09c96c64914108f133631271661eeb8a6c3,65e6a3e4b0bbb972d38fa5a11b87b14458cbf331a9e4bac42ba50482c5366b1e,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bd5f8cbbcc677c9c7a2ab5e996f2a5afdd8e57ca24e0a2a0eda918457410a351
put_T200_s020_r001_q010,projected_lu_minus_policy,945573a2e57d6737b17be2a160e7ffa9d59853cadb133fefaf204d80e6581017,9398c76969662a0acc1fb871adfa84fb5639ca570c1651d411b1c14960e8eaed,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bd5f8cbbcc677c9c7a2ab5e996f2a5afdd8e57ca24e0a2a0eda918457410a351
call_T200_s020_r010_q010,policy_iteration,33ae2b87d4c430f1a3c22b9934f337dc33a8ab1eb6f36ec05f3a518bbaa3bf12,0cabe6fe4c3238055af6a92ebc407ca37cf2d72dcb69f31f89fa6809a6d544f6,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bd5f8cbbcc677c9c7a2ab5e996f2a5afdd8e57ca24e0a2a0eda918457410a351
call_T200_s020_r010_q010,projected_lu_single,f48b6fdf6e71648a448f821e3f134756e55419a859cd783719ea22c02ebf7afb,f9deba3d7dcb9cb19888ba91797305d5a227ad196f3ecda183e36d85be416189,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bd5f8cbbcc677c9c7a2ab5e996f2a5afdd8e57ca24e0a2a0eda918457410a351
