iteration,kind,leading_residual_singular_value,mean_squared_projection_error,option_type,original_w_norm,regime_id,selection_score,time_index
20,primal_pod,0.04399013132707527,2.423644316296723e-05,call,,call_T200_s040_r001_q006,,
21,primal_pod,0.0447013121471715,2.061688863396853e-05,call,,call_T100_s020_r001_q010,,
22,primal_pod,0.025948376115162174,1.5297854477853253e-05,call,,call_T200_s060_r001_q006,,
23,primal_pod,0.034463198469708425,1.2932410567765694e-05,call,,call_T200_s020_r005_q010,,
24,primal_pod,0.03215667199878459,9.90899899423834e-06,call,,call_T200_s020_r010_q006,,
25,primal_pod,0.024131677091718578,8.71769376610172e-06,call,,call_T200_s060_r001_q006,,
26,primal_pod,0.0233285099287008,7.740640486526797e-06,call,,call_T200_s060_r010_q006,,
27,primal_pod,0.022494366572381616,7.143453011771685e-06,call,,call_T200_s040_r001_q010,,
28,primal_pod,0.022157438118828445,5.7888245828497595e-06,call,,call_T100_s020_r010_q010,,
29,primal_pod,0.02482864303948433,5.21703728060481e-06,call,,call_T025_s020_r001_q010,,
30,primal_pod,0.017627439352974766,4.716144974243786e-06,call,,call_T200_s060_r005_q006,,
31,primal_pod,0.01573057728357861,3.5619469972379848e-06,call,,call_T200_s040_r005_q006,,
32,primal_pod,0.01410655801602237,2.7860523906026828e-06,call,,call_T200_s040_r005_q010,,
1,dual_angle,,,call,0.0760694489661282,call_T200_s020_r001_q010,0.0760694489661282,1
2,dual_angle,,,call,1.7672384012807358e-06,call_T025_s060_r010_q003,0.9853498462378868,100
3,dual_angle,,,call,0.001774858898967233,call_T200_s060_r001_q003,0.7736412395317979,118
4,dual_angle,,,call,1.117682160940886e-14,call_T200_s060_r010_q003,0.6031949474657271,72
5,dual_angle,,,call,0.00018970557207459364,call_T200_s060_r005_q003,0.4389980436030694,82
6,dual_angle,,,call,1.2319986936260532e-14,call_T200_s060_r010_q003,0.326118999159587,26
7,dual_angle,,,call,0.014389159796508415,call_T100_s060_r001_q006,0.22060479497020827,89
8,dual_angle,,,call,0.00044087469379280024,call_T200_s060_r005_q003,0.21683807347091763,77
9,dual_angle,,,call,7.798867299302342e-06,call_T050_s040_r010_q003,0.18012337941749232,108
10,dual_angle,,,call,1.4938328525994183e-14,call_T200_s060_r010_q003,0.15600204781134153,77
11,dual_angle,,,call,1.0846601005834913e-14,call_T200_s060_r010_q003,0.12646354809731752,39
12,dual_angle,,,call,1.2323637476108812e-14,call_T200_s060_r005_q003,0.12445636868762704,97
13,dual_angle,,,call,1.1662891768281322e-14,call_T200_s060_r010_q003,0.11553937878776901,41
14,dual_angle,,,call,1.2478103122426165e-14,call_T200_s060_r010_q003,0.10797008795296198,15
15,dual_angle,,,call,1.2328809505268836e-14,call_T200_s060_r010_q003,0.10366640839000728,33
16,dual_angle,,,call,1.2920355388202329e-14,call_T200_s060_r010_q003,0.08888462706863061,20
17,dual_angle,,,call,1.3444708804881732e-14,call_T200_s060_r010_q003,0.08848162477405194,82
18,dual_angle,,,call,0.0646016032920714,call_T200_s040_r001_q010,0.08804362471017804,108
19,dual_angle,,,call,1.1535122864041304e-14,call_T200_s060_r010_q003,0.08030737780376324,40
20,dual_angle,,,call,1.1397925114078697e-14,call_T200_s060_r005_q003,0.07837543664256615,110
21,dual_angle,,,call,1.0251235665416507e-14,call_T200_s060_r005_q003,0.07795085561368033,115
22,dual_angle,,,call,1.1764549881849767e-14,call_T200_s060_r010_q003,0.07212989622887345,73
23,dual_angle,,,call,1.0846174173126109e-14,call_T200_s060_r010_q003,0.06766518659584718,79
24,dual_angle,,,call,1.0088856822150558e-14,call_T200_s060_r005_q003,0.063464720684331,94
25,dual_angle,,,call,1.062323591759683e-14,call_T200_s060_r010_q003,0.06228033391268606,62
26,dual_angle,,,call,1.5957858864341647e-14,call_T200_s060_r005_q003,0.059883324305872496,101
27,dual_angle,,,call,1.381007557463144e-14,call_T200_s060_r010_q003,0.05941601006839367,45
28,dual_angle,,,call,1.0167923089634417e-14,call_T200_s060_r010_q003,0.05771561007014241,103
29,dual_angle,,,call,1.152725766850791e-14,call_T200_s060_r010_q003,0.05507221422584702,89
30,dual_angle,,,call,1.443737411908337e-14,call_T200_s060_r010_q003,0.05322980597737866,91
31,dual_angle,,,call,1.6301466006667482e-14,call_T200_s060_r010_q003,0.052378053493014796,32
32,dual_angle,,,call,1.2219354984415781e-14,call_T200_s060_r005_q003,0.051068779113425465,102
