method_name,split,region,row_count,delta_mae,delta_rmse,delta_max_abs_error,delta_stable_relative_mae,downstream_use_status
direct_value_implied_delta,train,all_allowed,861030,0.09041601412692887,0.11794089602553194,0.9197321118856647,178.88091336483427,stage5_delta_diagnostic_only
direct_value_implied_delta,train,strict_interior,861030,0.09041601412692887,0.11794089602553194,0.9197321118856647,178.88091336483427,stage5_delta_diagnostic_only
direct_value_implied_delta,train,boundary_near,64834,0.12334745558761362,0.15469999821795943,0.7071386475640901,0.1375942340080726,stage5_delta_diagnostic_only
direct_value_implied_delta,train,payoff_kink_near,122210,0.0933947916534221,0.12571397608139198,0.7160057528862893,12.574965931860993,stage5_delta_diagnostic_only
direct_value_implied_delta,train,maturity_row,8686,0.14979087345872258,0.1973153940449643,0.7160057528862893,758.558149585032,stage5_delta_diagnostic_only
direct_value_implied_delta,validation,all_allowed,78983,0.0925908038222826,0.1215725418220217,0.679893305830958,230.2215788185274,stage5_delta_diagnostic_only
direct_value_implied_delta,validation,strict_interior,78983,0.0925908038222826,0.1215725418220217,0.679893305830958,230.2215788185274,stage5_delta_diagnostic_only
direct_value_implied_delta,validation,boundary_near,8027,0.09754855641342368,0.12353409671240206,0.5763990659543008,0.1062624059893319,stage5_delta_diagnostic_only
direct_value_implied_delta,validation,payoff_kink_near,11495,0.10822544591360612,0.1421273792948472,0.6842150051227807,12.593882696838415,stage5_delta_diagnostic_only
direct_value_implied_delta,validation,maturity_row,817,0.14535130377342262,0.19493000446797992,0.6842150051227807,843.8657907280034,stage5_delta_diagnostic_only
direct_value_implied_delta,test,all_allowed,193872,0.13171813271221194,0.1684301775986581,0.9445471977504453,221.4244332418812,stage5_delta_diagnostic_only
direct_value_implied_delta,test,strict_interior,193872,0.13171813271221194,0.1684301775986581,0.9445471977504453,221.4244332418812,stage5_delta_diagnostic_only
direct_value_implied_delta,test,boundary_near,2219,0.12308227953238296,0.1493513973587522,0.4585333931637273,0.1279998536823103,stage5_delta_diagnostic_only
direct_value_implied_delta,test,payoff_kink_near,26015,0.12468427616185869,0.15725858471571236,0.6329844609647926,12.538889816736578,stage5_delta_diagnostic_only
direct_value_implied_delta,test,maturity_row,1849,0.17801845029584848,0.22015054216857224,0.760182611607004,838.3705651264565,stage5_delta_diagnostic_only
