regime_id,option_type,q,converged,failure_reason,max_iterations,reduced_residual_max,full_lcp_residual_max,boundaries_finite
put_T025_s020_r001_q000,put,0.0,True,,3,3.5464071890021573e-16,0.00041552567264129675,True
put_T025_s060_r001_q010,put,0.1,True,,4,2.476623684749373e-16,0.0030308764029557955,True
call_T025_s020_r001_q003,call,0.03,True,,2,4.440892098500626e-16,0.0001215906947316999,True
call_T025_s020_r001_q000,call,0.0,True,,1,2.373032912991771e-16,0.00013450331038535114,True
