model_name,split,row_count,value_mae,value_rmse,value_max_abs_error,value_stable_relative_mae,premium_mae,premium_rmse,premium_max_abs_error,premium_stable_relative_mae,relative_error_denominator_floor,downstream_use_status
direct_value_mlp,train,1051006,0.01203619039339015,0.015404176725267067,0.12662464380264282,22.53081223328187,0.01203619039339015,0.015404176725267067,0.12662464380264282,48.016678737839,0.0001,stage3_surrogate_diagnostic_only
direct_value_mlp,validation,98857,0.013539908174624972,0.01655835646759044,0.06395550072193146,33.54820974407305,0.013539908174624972,0.01655835646759044,0.06395550072193146,63.455896504408834,0.0001,stage3_surrogate_diagnostic_only
direct_value_mlp,test,223729,0.023964731501457334,0.03335121365384882,0.2370446995518256,25.428134346766615,0.023964731501457334,0.03335121365384882,0.2370446995518256,33.263933423333576,0.0001,stage3_surrogate_diagnostic_only
direct_value_mlp,stress_holdout,124872,0.023259579856492938,0.028907312110260243,0.1311173290014267,20.24538113069204,0.023259579856492938,0.028907312110260243,0.1311173290014267,45.328285176871155,0.0001,stage3_surrogate_diagnostic_only
positive_premium_mlp,train,1051006,0.004336858565645479,0.006417421183269914,0.07914964109659195,3.9133973474090875,0.004336858565645479,0.006417421183269914,0.07914964109659195,7.269723349610869,0.0001,stage3_surrogate_diagnostic_only
positive_premium_mlp,validation,98857,0.0030731462734418006,0.0048568913758458175,0.03247040327628601,3.5637783016271305,0.0030731462734418006,0.0048568913758458175,0.03247040327628601,6.209810864158558,0.0001,stage3_surrogate_diagnostic_only
positive_premium_mlp,test,223729,0.007788045428194721,0.012268641982174276,0.117453892590766,2.965450414760726,0.007788045428194721,0.012268641982174276,0.117453892590766,4.193077223165113,0.0001,stage3_surrogate_diagnostic_only
positive_premium_mlp,stress_holdout,124872,0.006607384942539352,0.009515969641226743,0.07403723150491714,2.358044551103158,0.006607384942539352,0.009515969641226743,0.07403723150491714,3.810550743877579,0.0001,stage3_surrogate_diagnostic_only
