arm,boundary_conditional_mae,boundary_conditional_rmse,boundary_false_count,boundary_found_rate,boundary_missed_count,boundary_predicted_found,boundary_reference_found,delta_rmse,mae,max_abs_error,network_spec,normalized_lcp_residual_max,reference_source,regime_id,region,relative_l2,rmse,runtime_seconds,sample_count,scaled_gamma_rmse,seed,solver_converged,split,total_lcp_iterations,variant
A,nan,nan,0,1.0,0,0,0,0.0010990070918184128,0.00054698444321818,0.0029275848333010896,not_applicable,9.44741161669035e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,payoff_kink_near,0.015202271039992074,0.0006954976053844949,0.2099666000030993,605,0.02219290528817525,deterministic,True,test,1800,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0010990070918184128,0.0,0.0,not_applicable,9.44741161669035e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,maturity_row,0.0,0.0,0.2099666000030993,43,0.02219290528817525,deterministic,True,test,1800,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0010990070918184128,1.0301518283590375e-05,0.0002285963374923372,not_applicable,9.44741161669035e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,strict_interior,8.335137648076159e-05,3.189947196345153e-05,0.2099666000030993,4560,0.02219290528817525,deterministic,True,test,1800,CN+PSOR
B,nan,nan,0,1.0,0,0,0,0.0010990070917063083,7.263127264049337e-05,0.0029275848333446806,not_applicable,3.447585117858983e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,all,0.0006638455678046188,0.00023903550998011133,0.020667799999500858,5203,0.022192905286218347,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0010990070917063083,3.55975917176938e-08,8.4697967386208e-07,not_applicable,3.447585117858983e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,exercise_region,1.9589200042243597e-06,1.2421789183372572e-07,0.020667799999500858,1354,0.022192905286218347,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0010990070917063083,9.816895619883117e-05,0.0029275848333446806,not_applicable,3.447585117858983e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,continuation_region,0.0006665407049299882,0.000277917160947758,0.020667799999500858,3849,0.022192905286218347,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0010990070917063083,0.0005469844432887172,0.0029275848333446806,not_applicable,3.447585117858983e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,payoff_kink_near,0.015202271041298588,0.0006954976054442673,0.020667799999500858,605,0.022192905286218347,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0010990070917063083,0.0,0.0,not_applicable,3.447585117858983e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,maturity_row,0.0,0.0,0.020667799999500858,43,0.022192905286218347,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0010990070917063083,1.0301518280441467e-05,0.0002285963376753991,not_applicable,3.447585117858983e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,strict_interior,8.33513765245053e-05,3.1899471980192716e-05,0.020667799999500858,4560,0.022192905286218347,deterministic,True,test,120,CN+Policy Iteration
A,nan,nan,0,1.0,0,0,0,0.0011987752532159547,7.402121528775576e-05,0.0029288489222904033,not_applicable,6.931274939474109e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,all,0.0006610907539128017,0.00024074248773753326,0.21669160000237753,5203,0.02471041196477257,deterministic,True,test,1920,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0011987752532159547,3.862304901637864e-08,9.571190714028704e-07,not_applicable,6.931274939474109e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,exercise_region,2.07696696686087e-06,1.3278660345168368e-07,0.21669160000237753,1332,0.02471041196477257,deterministic,True,test,1920,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0011987752532159547,9.94784131337906e-05,0.0029288489222904033,not_applicable,6.931274939474109e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,continuation_region,0.0006637145056859984,0.00027910528131429226,0.21669160000237753,3871,0.02471041196477257,deterministic,True,test,1920,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0011987752532159547,0.0005517703923062892,0.0029288489222904033,not_applicable,6.931274939474109e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,payoff_kink_near,0.014126652251177544,0.0006997378390772426,0.21669160000237753,605,0.02471041196477257,deterministic,True,test,1920,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0011987752532159547,0.0,0.0,not_applicable,6.931274939474109e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,maturity_row,0.0,0.0,0.21669160000237753,43,0.02471041196477257,deterministic,True,test,1920,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0011987752532159547,1.1252477148440408e-05,0.00022857999706610288,not_applicable,6.931274939474109e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,strict_interior,8.826906911469905e-05,3.416290837638348e-05,0.21669160000237753,4560,0.02471041196477257,deterministic,True,test,1920,CN+PSOR
B,nan,nan,0,1.0,0,0,0,0.0011987752532322442,7.402121528655714e-05,0.0029288489222833226,not_applicable,3.438030540054691e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,all,0.0006610907539019473,0.00024074248773358055,0.020978700002160622,5203,0.024710411965322122,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0011987752532322442,3.862304901481798e-08,9.571190736769089e-07,not_applicable,3.438030540054691e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,exercise_region,2.076966966912464e-06,1.327866034549822e-07,0.020978700002160622,1332,0.024710411965322122,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0011987752532322442,9.947841313218006e-05,0.0029288489222833226,not_applicable,3.438030540054691e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,continuation_region,0.0006637145056751011,0.0002791052813097097,0.020978700002160622,3871,0.024710411965322122,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0011987752532322442,0.0005517703922936551,0.0029288489222833226,not_applicable,3.438030540054691e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,payoff_kink_near,0.014126652250968,0.0006997378390668632,0.020978700002160622,605,0.024710411965322122,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0011987752532322442,0.0,0.0,not_applicable,3.438030540054691e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,maturity_row,0.0,0.0,0.020978700002160622,43,0.024710411965322122,deterministic,True,test,120,CN+Policy Iteration
