S_over_K,tau_over_T,V_over_K,Delta,scaled_Gamma,payoff_over_K,continuation_premium_over_K
0.5,0.5,0.50721502679614117,-0.90203850645568107,0.73190248206515496,0.5,0.0072150267961411663
0.50249999999999995,0.5,0.50496077422680352,-0.90020645399054477,0.7365295955804223,0.49750000000000005,0.0074607742268034682
0.505,0.5,0.50271062122542809,-0.89836404624308908,0.74118332324646674,0.495,0.0077106212254280937
0.50749999999999995,0.5,0.50047018345945216,-0.89649709834743141,0.74590012164145814,0.49250000000000005,0.007970183459452107
0.51000000000000001,0.5,0.49822974569347622,-0.89463015045177363,0.75061692003644986,0.48999999999999999,0.0082297456934762314
0.51249999999999996,0.5,0.49599389352998074,-0.89275164976167143,0.75535421416007531,0.48750000000000004,0.0084938935299807006
0.51500000000000001,0.5,0.49376732957403502,-0.89084974871075728,0.76013302269369432,0.48499999999999999,0.0087673295740350321
0.51749999999999996,0.5,0.49154076561808946,-0.88894784765984314,0.76491183122731321,0.48250000000000004,0.0090407656180894191
0.52000000000000002,0.5,0.48931986901860292,-0.8870317816995843,0.76970574381246259,0.47999999999999998,0.0093198690186029332
0.52249999999999996,0.5,0.48710723309618759,-0.88509506912168689,0.77452167189867538,0.47750000000000004,0.0096072330961875507
0.52500000000000002,0.5,0.48489459717377215,-0.88315835654378938,0.77933759998488839,0.47499999999999998,0.0098945971737721683
0.52749999999999997,0.5,0.4826893023808605,-0.88120352366995114,0.78416128151586284,0.47250000000000003,0.010189302380860465
0.53000000000000003,0.5,0.48049064274931247,-0.87923231305921745,0.78899197087268935,0.46999999999999997,0.010490642749312495
0.53249999999999997,0.5,0.47829198311776455,-0.87726110244848376,0.79382266022951564,0.46750000000000003,0.010791983117764525
0.53500000000000003,0.5,0.47610292491821998,-0.87526657799110041,0.79864973042721188,0.46499999999999997,0.011102924918220014
0.53749999999999998,0.5,0.47391828294102883,-0.87326133022383157,0.80347513597619247,0.46250000000000002,0.011418282941028812
0.54000000000000004,0.5,0.47173364096383757,-0.87125608245656272,0.80830054152517328,0.45999999999999996,0.01173364096383761
0.54249999999999998,0.5,0.46956143974499664,-0.86922121827189769,0.81310539721892505,0.45750000000000002,0.012061439744996627
0.54500000000000004,0.5,0.46739084918411339,-0.86718251976162219,0.81790759240059885,0.45499999999999996,0.012390849184113428
0.54749999999999999,0.5,0.46522203104669363,-0.86513969669900925,0.82270485266041127,0.45250000000000001,0.012722031046693616
0.55000000000000004,0.5,0.46306551754407055,-0.86306823989775627,0.82746785338095363,0.44999999999999996,0.013065517544070593
0.55249999999999999,0.5,0.46090900404144752,-0.8609967830965034,0.83223085410149578,0.44750000000000001,0.013409004041447514
0.55500000000000005,0.5,0.45875821215809226,-0.8589123449961592,0.83697217800830026,0.44499999999999995,0.013758212158092309
0.5575,0.5,0.45661579287950205,-0.85680891099945433,0.84168178163007745,0.4425,0.014115792879502043
0.56000000000000005,0.5,0.45447337360091172,-0.85470547700274924,0.84639138525185487,0.43999999999999995,0.014473373600911776
0.5625,0.5,0.45234117763976944,-0.85257948137334649,0.85105316832398603,0.4375,0.014841177639769443
0.56499999999999995,0.5,0.4502128610572258,-0.85044492442170327,0.85569680522998126,0.43500000000000005,0.015212861057225746
0.5675,0.5,0.44808570393245994,-0.84830788374157373,0.86033410806020005,0.4325,0.015585703932459949
0.57000000000000006,0.5,0.44597148972440781,-0.84614311743697357,0.86490070420596576,0.42999999999999994,0.015971489724407872
0.57250000000000001,0.5,0.44385727551635584,-0.84397835113237363,0.86946730035173136,0.42749999999999999,0.016357275516355851
0.57499999999999996,0.5,0.44174978762511846,-0.84179962528250929,0.87399249473373086,0.42500000000000004,0.016749787625118417
0.57750000000000001,0.5,0.43964966667606437,-0.83960561035755343,0.87847234418055187,0.42249999999999999,0.017149666676064379
0.57999999999999996,0.5,0.43754954572701033,-0.83741159543259758,0.88295219362737254,0.42000000000000004,0.017549545727010285
0.58250000000000002,0.5,0.43546222659877371,-0.83519188526232579,0.88734545460984038,0.41749999999999998,0.017962226598773723
0.58499999999999996,0.5,0.43337618108224607,-0.83296961875528241,0.89173010118630802,0.41500000000000004,0.018376181082246035
0.58750000000000002,0.5,0.43129545154402443,-0.83073704960335393,0.89607595587396904,0.41249999999999998,0.018795451544024455
0.58999999999999997,0.5,0.4292234550747317,-0.82848755530561979,0.90035808339433809,0.41000000000000003,0.019223455074731666
0.59250000000000003,0.5,0.42715145860543885,-0.82623806100788555,0.90464021091470737,0.40749999999999997,0.019651458605438876
0.59499999999999997,0.5,0.42509184147237888,-0.82396543600274919,0.90882623424260456,0.40500000000000003,0.020091841472378857
0.59750000000000003,0.5,0.42303385931518989,-0.82168975605607353,0.91299956480306699,0.40249999999999997,0.020533859315189917
0.59999999999999998,0.5,0.42098179848868073,-0.81940342455716386,0.91712452497138741,0.40000000000000002,0.020981798488680703
0.60250000000000004,0.5,0.41893778781362723,-0.81710261208879631,0.92118372475513077,0.39749999999999996,0.021437787813627263
0.60499999999999998,0.5,0.4168937771385739,-0.81480179962042898,0.9252429245388738,0.39500000000000002,0.021893777138573878
0.60750000000000004,0.5,0.41486367744605129,-0.81247692937646498,0.92918360088601115,0.39249999999999996,0.022363677446051333
0.60999999999999999,0.5,0.41283358761994648,-0.81015204206943137,0.93312419316994655,0.39000000000000001,0.022833587619946472
0.61250000000000004,0.5,0.41081194343671645,-0.80781313130807619,0.93699027160531334,0.38749999999999996,0.023311943436716498
0.61499999999999999,0.5,0.40879571634323369,-0.80546522581277957,0.94080855637818595,0.38500000000000001,0.023795716343233686
0.61750000000000005,0.5,0.40678298168387,-0.80311175990072203,0.94459512384283539,0.38249999999999995,0.024282981683870053
0.62,0.5,0.40478055206502872,-0.80074188700199422,0.94828810381653816,0.38,0.024780552065028716
0.62250000000000005,0.5,0.40277812244618738,-0.79837201410326641,0.95198108379024104,0.37749999999999995,0.025278122446187434
0.625,0.5,0.40078846352041003,-0.79598267021819669,0.95555527672582519,0.375,0.025788463520410032
0.62749999999999995,0.5,0.3987997593333989,-0.79359187067951575,0.95912058912613662,0.37250000000000005,0.026299759333398842
0.63,0.5,0.39681979853800425,-0.79118832188954058,0.96260295961443432,0.37,0.026819798538004258
0.63250000000000006,0.5,0.39484474132213759,-0.78877762290312159,0.96603881357006349,0.36749999999999994,0.027344741322137656
0.63500000000000001,0.5,0.39287488330832404,-0.78635968283840285,0.9694245499702222,0.36499999999999999,0.02787488330832405
0.63749999999999996,0.5,0.39091338855769781,-0.78393009501640076,0.9727296689405468,0.36250000000000004,0.028413388557697761
0.64000000000000001,0.5,0.38895402180325828,-0.78149768024711397,0.97601400912759517,0.35999999999999999,0.02895402180325829
0.64250000000000007,0.5,0.387005999341342,-0.77905019509511519,0.97918757815949597,0.35749999999999993,0.029505999341342071
0.64500000000000002,0.5,0.38505797687942583,-0.77660270994311653,0.98236114719139667,0.35499999999999998,0.030057976879425852
0.64749999999999996,0.5,0.38312284969502663,-0.77413890710035438,0.98540751454540287,0.35250000000000004,0.030622849695026599
0.65000000000000002,0.5,0.381188204048027,-0.77167449491992024,0.98844913191515071,0.34999999999999998,0.031188204048027024
0.65249999999999997,0.5,0.37926419306334186,-0.76919728273454302,0.99138502725801914,0.34750000000000003,0.031764193063341828
0.65500000000000003,0.5,0.37734282382968964,-0.76671689090647632,0.99429466024619717,0.34499999999999997,0.032342823829689671
0.65749999999999997,0.5,0.37543026014514713,-0.76422643326436634,0.99711625507904789,0.34250000000000003,0.032930260145147106
0.66000000000000003,0.5,0.37352206235891838,-0.7617309848692646,0.99989419952404512,0.33999999999999997,0.033522062358918414
0.66249999999999998,0.5,0.37162125884637431,-0.75922752144121264,1.0025979304448236,0.33750000000000002,0.034121258846374292
0.66500000000000004,0.5,0.36972612333285315,-0.75671791417796219,1.0052447738062953,0.33499999999999996,0.034726123332853187
0.66749999999999998,0.5,0.3678373743448457,-0.75420175362224962,1.0078273754503146,0.33250000000000002,0.035337374344845685
0.67000000000000004,0.5,0.36595518806678096,-0.75167885898906295,1.0103439631471647,0.32999999999999996,0.035955188066780996
0.67249999999999999,0.5,0.36407876925760663,-0.74915037217201041,1.0128024912952465,0.32750000000000001,0.036578769257606614
0.67500000000000004,0.5,0.36220941565101794,-0.74661503487814329,1.0151898959605881,0.32499999999999996,0.037209415651017985
0.67749999999999999,0.5,0.36034558390116872,-0.74407464820472291,1.0175217423896052,0.32250000000000001,0.037845583901168711
