representation,modes,split,region,row_count,premium_mae,premium_rmse,premium_max_abs_error,raw_negative_premium_rate,projected_negative_premium_rate
unaligned,4,train,all,1051006,0.0009547594695435373,0.0015404085807142738,0.013085584720108664,0.20665343489951532,0.0
unaligned,4,train,boundary_near,64834,0.0013815199918163863,0.0023633403671159486,0.012853050217863177,0.3253848289477743,0.0
unaligned,4,train,strict_interior,861030,0.0008542648324369942,0.001396222227791049,0.013085584720108664,0.2225903859331266,0.0
unaligned,4,validation,all,98857,0.0006517246814216608,0.0010016238634314805,0.007782876496441618,0.21464337376210083,0.0
unaligned,4,validation,boundary_near,8027,0.0008785992049096505,0.0013793465750429692,0.006420644090808614,0.30933100784851125,0.0
unaligned,4,validation,strict_interior,78983,0.0005781350964956003,0.0009045067182476387,0.007782876496441618,0.2320625957484522,0.0
unaligned,4,test,all,223729,0.0017991584142747984,0.002947127105380525,0.026385846791666723,0.058660254146757906,0.0
unaligned,4,test,boundary_near,2219,0.0011615835038577545,0.001991789154824923,0.008348118392770575,0.41189725101397023,0.0
unaligned,4,test,strict_interior,193872,0.0018530783793822706,0.0030535588418251114,0.026385846791666723,0.05782165552529504,0.0
unaligned,4,stress_holdout,all,124872,0.0013828999809469271,0.0021032360645069806,0.012920004652529835,0.10191235825485297,0.0
unaligned,4,stress_holdout,boundary_near,6341,0.0006439802491964905,0.001137513527606748,0.005857698391633439,0.4038795142721968,0.0
unaligned,4,stress_holdout,strict_interior,103124,0.0014336184874434571,0.002187040060376292,0.012920004652529835,0.093266358946511,0.0
unaligned,8,train,all,1051006,0.00031913439689024284,0.0005039965185704848,0.004674656768320986,0.179956156292162,0.0
unaligned,8,train,boundary_near,64834,0.00046029722566104527,0.0007678737888144538,0.004238115755045971,0.37742542493136316,0.0
unaligned,8,train,strict_interior,861030,0.00029720581511624125,0.0004699320406530258,0.004674656768320986,0.18575543244718534,0.0
unaligned,8,validation,all,98857,0.0002024711024091638,0.0003048921271289854,0.002204239462289842,0.19442224627492236,0.0
unaligned,8,validation,boundary_near,8027,0.00028141183554659493,0.00046025964902093766,0.002204239462289842,0.3748598480129563,0.0
unaligned,8,validation,strict_interior,78983,0.000182234739023111,0.00026778402340711893,0.0019714590652417513,0.1998151500955902,0.0
unaligned,8,test,all,223729,0.0006728358950863112,0.0011537209890075905,0.011428270874085211,0.08720818490227016,0.0
unaligned,8,test,boundary_near,2219,0.0009986141681267015,0.001383115278224613,0.0035201476070222393,0.2568724650743578,0.0
unaligned,8,test,strict_interior,193872,0.0006633719221262164,0.001153769311957622,0.011428270874085211,0.0921277956589915,0.0
unaligned,8,stress_holdout,all,124872,0.0004498456041375062,0.0007217989824830239,0.0051888977787169915,0.09384810045486579,0.0
unaligned,8,stress_holdout,boundary_near,6341,0.0002936213248065241,0.0005146922335372379,0.0034437265926426635,0.3606686642485412,0.0
unaligned,8,stress_holdout,strict_interior,103124,0.000464435057020621,0.0007453491059385034,0.0051888977787169915,0.08636204957138978,0.0
unaligned,16,train,all,1051006,7.426685077376391e-05,0.00012076484725057711,0.0015330592233765601,0.16027786711017825,0.0
unaligned,16,train,boundary_near,64834,0.00012771662481571948,0.0002182379039726252,0.0015129060253627202,0.3604590184162631,0.0
unaligned,16,train,strict_interior,861030,6.908614110646519e-05,0.00010921750189304125,0.0015330592233765601,0.16347281743957817,0.0
unaligned,16,validation,all,98857,5.213104595816772e-05,8.34117567532765e-05,0.0008963191940116189,0.17690198974275975,0.0
unaligned,16,validation,boundary_near,8027,8.69440898234567e-05,0.000151608232864285,0.0008963191940116189,0.34770150741248285,0.0
unaligned,16,validation,strict_interior,78983,4.7919773569903236e-05,7.304939797745885e-05,0.0004977046516007819,0.18165934441588696,0.0
unaligned,16,test,all,223729,0.0001616344831415761,0.0002678101776918478,0.003998604397518781,0.05696624040692087,0.0
unaligned,16,test,boundary_near,2219,0.00035557590709478623,0.0004942947236943543,0.0013990800971879153,0.2942767012167643,0.0
unaligned,16,test,strict_interior,193872,0.00016263582781568146,0.00027121894183900587,0.003998604397518781,0.057450276471073695,0.0
unaligned,16,stress_holdout,all,124872,0.00011875969963540033,0.00019297335546573355,0.002255199529963038,0.06746108014606958,0.0
unaligned,16,stress_holdout,boundary_near,6341,0.00011751870431196073,0.0001961093440676926,0.001326862821694373,0.30405298848762025,0.0
unaligned,16,stress_holdout,strict_interior,103124,0.00012015014302333393,0.00019280559894803876,0.002255199529963038,0.057872076335285676,0.0
unaligned,24,train,all,1051006,3.0154505807455862e-05,5.1217508182506554e-05,0.0007676025350556795,0.15203148221798923,0.0
unaligned,24,train,boundary_near,64834,6.382347419495452e-05,0.00011164537541636596,0.0007676025350556795,0.3570194650954746,0.0
unaligned,24,train,strict_interior,861030,2.807884031703482e-05,4.5022853096276655e-05,0.0005730245148062724,0.15377745258585648,0.0
unaligned,24,validation,all,98857,2.5004528157667093e-05,4.111319319350303e-05,0.0005909416909748444,0.17525314342939802,0.0
unaligned,24,validation,boundary_near,8027,4.358030142294622e-05,7.996269516713629e-05,0.0005909416909748444,0.35841534819982557,0.0
unaligned,24,validation,strict_interior,78983,2.29923846354872e-05,3.5453485285418656e-05,0.0002151284190424433,0.17882329108795564,0.0
unaligned,24,test,all,223729,8.711344515068361e-05,0.00016392127092865964,0.002430279594883872,0.055862226175417584,0.0
unaligned,24,test,boundary_near,2219,0.00019386546841772696,0.0002977923036163048,0.0011699593089486643,0.3213159080666967,0.0
unaligned,24,test,strict_interior,193872,9.048949400436997e-05,0.0001692869292846897,0.002430279594883872,0.05612981761162004,0.0
unaligned,24,stress_holdout,all,124872,4.835395254527573e-05,7.980527595922699e-05,0.0008067586984149017,0.06491447241975783,0.0
unaligned,24,stress_holdout,boundary_near,6341,7.391058812497536e-05,0.00012893275052664187,0.0007207017569997574,0.3240813751774168,0.0
unaligned,24,stress_holdout,strict_interior,103124,4.965044765935092e-05,7.975974438766703e-05,0.0008067586984149017,0.05369264186804236,0.0
unaligned,32,train,all,1051006,1.583186891649155e-05,2.8919277437276432e-05,0.000602503328755076,0.1485139000157944,0.0
unaligned,32,train,boundary_near,64834,4.010162846877005e-05,7.132847863331879e-05,0.000602503328755076,0.3360119690285961,0.0
unaligned,32,train,strict_interior,861030,1.4230104954581856e-05,2.3770468180057854e-05,0.00035487937699158487,0.15116778741739545,0.0
unaligned,32,validation,all,98857,1.3069215376918492e-05,2.422303287185835e-05,0.0004305515630811524,0.16923434860455,0.0
unaligned,32,validation,boundary_near,8027,2.7932929598800853e-05,5.221216039024837e-05,0.0004305515630811524,0.3503176778372991,0.0
unaligned,32,validation,strict_interior,78983,1.1688017000139747e-05,2.0136395504793177e-05,0.00020680360488556132,0.1719357330058367,0.0
unaligned,32,test,all,223729,4.3686302562524495e-05,7.886909020158645e-05,0.0012679775824205406,0.05278260752964524,0.0
unaligned,32,test,boundary_near,2219,0.00014088223939027493,0.00022171803417235687,0.0009289409173641712,0.2866155926092835,0.0
unaligned,32,test,strict_interior,193872,4.434441321482728e-05,7.85239254358462e-05,0.0012679775824205406,0.052978253693158374,0.0
unaligned,32,stress_holdout,all,124872,2.3750867529965167e-05,4.141530440097441e-05,0.0005311289909419121,0.06775738356076623,0.0
unaligned,32,stress_holdout,boundary_near,6341,4.57336494413331e-05,8.235561518711302e-05,0.00047704099710572966,0.33054723229774485,0.0
unaligned,32,stress_holdout,strict_interior,103124,2.3623036481992073e-05,3.95460506612144e-05,0.0005311289909419121,0.05678600519762616,0.0
unaligned,48,train,all,1051006,6.479226898382153e-06,1.2568600526678055e-05,0.00027260485002907064,0.14235599035590663,0.0
unaligned,48,train,boundary_near,64834,1.9768419089226614e-05,3.469269329488998e-05,0.00027260485002907064,0.3025881481938489,0.0
unaligned,48,train,strict_interior,861030,5.5556313942441276e-06,9.416647565659935e-06,0.0001520101252805578,0.14605995145349174,0.0
unaligned,48,validation,all,98857,6.305951580919109e-06,1.3334764673785629e-05,0.0003376311271030691,0.16611873716580516,0.0
unaligned,48,validation,boundary_near,8027,1.914222824848053e-05,3.495001892903115e-05,0.0003376311271030691,0.3204185872679706,0.0
unaligned,48,validation,strict_interior,78983,5.038558466283461e-06,9.109315499212981e-06,8.917777413704501e-05,0.17080890824607828,0.0
unaligned,48,test,all,223729,1.9175652106617306e-05,3.542804057543779e-05,0.0005518412713033964,0.05336813734473403,0.0
unaligned,48,test,boundary_near,2219,7.825535473762337e-05,0.00012517381539157185,0.0005518412713033964,0.2906714736367733,0.0
unaligned,48,test,strict_interior,193872,1.8630971753865888e-05,3.3192824455361854e-05,0.0004762295962770866,0.05365911529256417,0.0
unaligned,48,stress_holdout,all,124872,1.1596310727316992e-05,2.152105494379593e-05,0.0005099711382973367,0.06550707924915113,0.0
unaligned,48,stress_holdout,boundary_near,6341,2.6224559177128668e-05,4.825121251810405e-05,0.0002665273978984041,0.32076959470115124,0.0
unaligned,48,stress_holdout,strict_interior,103124,1.10927524794381e-05,1.9315426688143176e-05,0.0005099711382973367,0.05427446569178852,0.0
unaligned,64,train,all,1051006,3.4968390646195525e-06,7.117506237504624e-06,0.00021731388112891659,0.13754060395468723,0.0
unaligned,64,train,boundary_near,64834,1.2521284750515892e-05,2.1286309628950618e-05,0.00021731388112891659,0.27477866551500757,0.0
unaligned,64,train,strict_interior,861030,2.842399117739042e-06,4.836598766972886e-06,7.713677039771145e-05,0.1422993391635599,0.0
unaligned,64,validation,all,98857,3.895085225767153e-06,8.521469665712483e-06,0.0001849136262891092,0.16567364981741303,0.0
unaligned,64,validation,boundary_near,8027,1.3604405681440778e-05,2.3397167567243403e-05,0.0001849136262891092,0.2903949171546032,0.0
unaligned,64,validation,strict_interior,78983,2.93229043491266e-06,5.4072207760101064e-06,5.3768768962100854e-05,0.17334109871744552,0.0
unaligned,64,test,all,223729,1.2433865446492245e-05,2.5805627169563033e-05,0.00044650949696981197,0.04870624729024847,0.0
unaligned,64,test,boundary_near,2219,6.140134621797932e-05,9.720535960498101e-05,0.00043593643071097605,0.2906714736367733,0.0
unaligned,64,test,strict_interior,193872,1.2192543270959528e-05,2.466902029434512e-05,0.00044650949696981197,0.0487022365271932,0.0
unaligned,64,stress_holdout,all,124872,7.276479257180194e-06,1.538289818345999e-05,0.0005604304218961497,0.0642818245883785,0.0
unaligned,64,stress_holdout,boundary_near,6341,1.9119669577843096e-05,3.6594497381987134e-05,0.00023144569170200916,0.308941807285917,0.0
unaligned,64,stress_holdout,strict_interior,103124,6.834312537560359e-06,1.3730805578901894e-05,0.0005604304218961497,0.05370233893177146,0.0
oracle_boundary_aligned,4,train,all,1051006,0.017249364173442285,0.034246939272585535,0.3125821392649731,0.17931962329425333,0.0
oracle_boundary_aligned,4,train,boundary_near,64834,0.0029556253518849556,0.0048638063495097215,0.02190321650371972,0.2968195699787149,0.0
oracle_boundary_aligned,4,train,strict_interior,861030,0.01569898738239933,0.03116898674570437,0.2807316372607395,0.1868936041717478,0.0
oracle_boundary_aligned,4,validation,all,98857,0.012502034642227338,0.02219280003522606,0.11178203421368464,0.19897427597438724,0.0
oracle_boundary_aligned,4,validation,boundary_near,8027,0.0018478309238990683,0.0033114196033488317,0.016197296339213647,0.39217640463435904,0.0
oracle_boundary_aligned,4,validation,strict_interior,78983,0.012437241409189935,0.022369304709177387,0.10547716632348164,0.20294240532772875,0.0
oracle_boundary_aligned,4,test,all,223729,0.011861490820981726,0.0211603112278641,0.16497707470057288,0.1479870736471356,0.0
oracle_boundary_aligned,4,test,boundary_near,2219,0.00362841282959672,0.005509197386509466,0.01882405570467605,0.20594862550698512,0.0
oracle_boundary_aligned,4,test,strict_interior,193872,0.010629719402303882,0.020515328054525106,0.16497707470057288,0.16346868036642734,0.0
oracle_boundary_aligned,4,stress_holdout,all,124872,0.03189062975428818,0.056465866766495613,0.3163823045973804,0.07424402588250369,0.0
oracle_boundary_aligned,4,stress_holdout,boundary_near,6341,0.001807082172012643,0.003054483198110037,0.010954065024434264,0.4112915943857436,0.0
oracle_boundary_aligned,4,stress_holdout,strict_interior,103124,0.02983510967299238,0.05232254525082695,0.28405626589839444,0.05978239788991893,0.0
oracle_boundary_aligned,8,train,all,1051006,0.015031765332034335,0.03345261445796294,0.31102401202890223,0.18735287905111864,0.0
oracle_boundary_aligned,8,train,boundary_near,64834,0.0015802947726926524,0.0026541225364773895,0.01899064787821643,0.29631057778326186,0.0
oracle_boundary_aligned,8,train,strict_interior,861030,0.014116956459621983,0.031176594757731022,0.27917351002466867,0.20006852258341754,0.0
oracle_boundary_aligned,8,validation,all,98857,0.010609111173379468,0.021637786770223166,0.12372157622047905,0.23606826021424887,0.0
oracle_boundary_aligned,8,validation,boundary_near,8027,0.0011329825364235558,0.0019921123001133004,0.011653399624105443,0.3553008595988539,0.0
oracle_boundary_aligned,8,validation,strict_interior,78983,0.01099546607595251,0.02253034862939594,0.12372157622047905,0.2524087461858881,0.0
oracle_boundary_aligned,8,test,all,223729,0.007389998382092095,0.017709000116868726,0.1840413379971505,0.144648212793156,0.0
oracle_boundary_aligned,8,test,boundary_near,2219,0.0022968131359712082,0.002784990942952331,0.007165793660185621,0.027039206849932402,0.0
oracle_boundary_aligned,8,test,strict_interior,193872,0.006900980853368613,0.018018894929004055,0.1840413379971505,0.16133840884707437,0.0
