step,loss,coefficient_loss,surface_loss,boundary_loss,derivative_loss,exercise_loss,learning_rate
1,3.953237351351552,0.8782966350230922,0.3528798621163239,0.6737010271026377,0.19834710868916902,0.07422034932668552,0.0009999998473295647
100,0.7221651757981742,0.6526659019620435,0.02845317477946549,0.009424040301850588,0.029428167524826784,0.004071210967800696,0.0009984740801978966
200,1.2102526007518688,1.1257457005122025,0.07114037387890923,0.002590837864951341,0.024098036829585088,0.005933712179932095,0.0009939057285945916
300,0.54336266370737,0.530713267416341,0.006207278270927037,0.0013766731143610017,0.004512149257342184,0.004842106369238285,0.0009863231105968475
400,0.5512664483216119,0.5430154274908613,0.004088522182407297,0.0008814523651050949,0.003770647239538242,0.002596244639690504,0.0009757729755660932
500,0.27055965908953317,0.2624255189386878,0.0033954889869321535,0.0010736623005571677,0.0026851065930580537,0.001754913023786822,0.0009623203685930793
600,0.22022380729944166,0.2169916599566175,0.001490033760545923,0.00037154788549037423,0.0016650063550566923,0.0008942140481104134,0.0009460482294732351
700,0.21861310969709236,0.21501102691218912,0.001900554330469215,0.0003727760905108038,0.0012881204270440581,0.0008161204968639083,0.0009270568813552691
800,0.06443047975297321,0.062249742024673295,0.0009764870614347498,0.00025396303034023256,0.0013594550854222579,0.0005245303696201374,0.0009054634122155924
900,0.028682621258363253,0.026878374821443864,0.0005746425835792823,0.00026037935753635955,0.0015621603507978837,0.0003187038811488109,0.0008814009529720089
1000,0.23156855953524622,0.22787208911920842,0.0018406379652736885,0.00042158971016682725,0.0012261104346146766,0.00046862566635302427,0.0008550178566873347
1100,0.1016540315471083,0.10014867212568901,0.0006755743609196046,0.0001809610463814992,0.0008992850665858497,0.00016012368315105333,0.0008264767839234347
1200,0.012809987739773128,0.012055872232982073,0.000267078098806551,0.0001008943617935879,0.0006095539325450707,0.00022504567555646022,0.0007959536998847684
1300,0.04878599441311263,0.04765242850171573,0.0007581175217262791,7.060875377143875e-05,0.0007647427486284928,0.0001653909972202129,0.0007636367895343892
1400,0.022210623998650928,0.021561291846473263,0.00029589291722699517,6.612977672247281e-05,0.0006248912666861236,0.0002643100139216797,0.0007297252973710702
1500,0.00913008526215791,0.008519757437383368,0.00028895650188908123,6.549337635085551e-05,0.0005400703557774387,5.3907819042940895e-05,0.0006944282990207144
1600,0.006672439699118599,0.006040384733235024,0.0003914680489116585,4.217934804089581e-05,0.0005385737699014838,0.0001801214781818475,0.0006579634122155945
1700,0.015040086511669134,0.013347339882096826,0.0014620622914902424,3.2754094638138795e-05,0.0008707333800346423,0.00012594621526047212,0.0006205554551086687
1800,0.005454025076517682,0.004931182532722283,0.0001419141590606649,7.801973792480061e-05,0.000541039499995721,0.00014745483035959872,0.00058243506019491
1900,0.005848563743722187,0.005295721693961708,0.00015674032491408036,8.481289720148845e-05,0.00046798610903833515,0.00010051525136610844,0.0005438372523852798
2000,0.005615442497516887,0.004774918318731663,0.0002612144297415714,0.000129263823196378,0.0005219719865734297,0.00010057257600798641,0.0005049999999999966
2100,0.005422044792411841,0.004914106173406106,0.00028172812035483214,4.1272850767036424e-05,0.0004234373400663353,0.0001877536157612352,0.00046616274761471303
2200,0.003888630539087521,0.0034632070762035234,0.0002173025867239982,3.9693472399026514e-05,0.00046381581894795385,2.965404669097993e-05,0.00042756493980508197
2300,0.00436434770320564,0.003928193750005557,0.00019042466637976261,4.5619493325502165e-05,0.0005049872594033367,0.00012752587577978352,0.00038944454489132354
2400,0.003396034500028823,0.0029761419042509916,0.00011830593118831042,6.389868634985002e-05,0.0004134946492457016,4.64245426555041e-05,0.0003520365877843981
2500,0.002830205371437036,0.0024426009045006663,0.00010850294312669012,5.8049462673200045e-05,0.00038114343630140605,8.789329486739448e-05,0.00031557170097927805
2600,0.0031282064364592686,0.002779210996520686,0.00017852382726142078,3.161326535713937e-05,0.0003705252134623766,6.966029902366601e-05,0.0002802747026289223
2700,0.003307626059227304,0.0029289619356035,0.00017138310781012397,3.989830543483024e-05,0.0003727075697362565,0.00010417037100733926,0.00024636321046560397
2800,0.0030062128977325184,0.00267494192803869,0.00012445360471626237,4.174441842758572e-05,0.0002918228484892559,0.00010657406418297683,0.00021404630011522474
2900,0.00261370772156984,0.002280891304178144,0.00010132271655881534,4.647938400668893e-05,0.0003898687693898746,6.589287867137208e-05,0.00018352321607655815
3000,0.002197828823698624,0.0018869010469999808,0.0001269408213176469,3.672457396483563e-05,0.00032906110080370334,4.182549441283549e-05,0.00015498214331265828
3100,0.002342427240545839,0.0021043592135304716,0.0001012741486311072,2.4748343920651704e-05,0.00028525320232497574,9.275182469156213e-05,0.00012859904702798436
3200,0.002505416609841748,0.0021889030825289276,9.086624307690974e-05,4.5351822320028504e-05,0.0003859371308736465,5.646281868432101e-05,0.00010453658778440083
3300,0.002220422319397766,0.0020108880659697233,8.105711277674045e-05,2.3102470830281437e-05,0.0003051898555071555,5.5482717794609424e-05,8.294311864472417e-05
3400,0.0023323827824528937,0.0020082310982991202,0.0001338991349125553,3.32422134890399e-05,0.0004994619270931514,7.337502575743736e-05,6.395177052675793e-05
3500,0.0016339480211652357,0.0013635713475631112,0.00010712383497720546,2.940730320726541e-05,0.0003989915500892301,5.7244707869344984e-05,4.767963140691308e-05
3600,0.002118152186339387,0.0019320034451692468,8.831999387552578e-05,1.5466200539941577e-05,0.0002689281813534882,9.07112699949973e-05,3.422702443389906e-05
3700,0.002776606288481854,0.0024493268967986296,0.0001359292377139007,3.493065958321132e-05,0.00043682685100709365,7.944830535768834e-05,2.3676889403150234e-05
3800,0.0021608958187368287,0.0018015022611396964,0.0001438289250553358,3.990092831062559e-05,0.00047008875477035875,8.952043822258354e-05,1.6094271405406923e-05
3900,0.0018424348950821015,0.001577332967349556,0.0001299720270837773,2.0605694410504403e-05,0.000473287452504617,5.378377756289064e-05,1.152591980210167e-05
4000,0.002149508203663301,0.0016774937886549137,0.0001064626116698581,7.219855633956955e-05,0.0006726718536792752,9.490392612323601e-05,1e-05
