case_name,case_family,sweep_name,stress_parameter,stress_value,option_type,K,T,r,q,sigma,Smax,M,N,dS,dtau,solver_name,solver_variant,premium_threshold,interpretation_lower_moneyness,interpretation_upper_moneyness,is_heatmap_case,runtime_seconds,all_psor_steps_converged,psor_step_count,max_psor_iterations,mean_psor_iterations,max_final_update,max_obstacle_violation,max_equation_violation,max_abs_complementarity_product,boundary_found_count,boundary_status,min_boundary_spot,max_boundary_spot,max_continuation_premium,max_abs_gamma,max_abs_gamma_strict,boundary_near_node_count,strict_negative_gamma_count,acceptance_status,downstream_use_status
dividend_call_q_100,dividend_call,call_dividend_yield_sweep,q,0.1,call,1,1,0.05,0.1,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.0520017079543,True,120,10,7.45833333333,9.90374446341e-09,0,2.22796307792e-09,3.15002441002e-11,120,BOUNDARIES_FOUND,1.03332536396,1.23321138817,0.058991496594,30,2.88328962602,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
dividend_call_q_140,dividend_call,call_dividend_yield_sweep,q,0.14,call,1,1,0.05,0.14,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.0524042919278,True,120,10,7.5,9.97238755462e-09,0,1.94389848662e-09,3.3600850802e-11,120,BOUNDARIES_FOUND,1.0333250766,1.16664700071,0.048945019942,30,2.16470030611,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
dividend_call_sigma_200,dividend_call,call_volatility_sweep,sigma,0.2,call,1,1,0.05,0.08,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.0515060408507,True,120,10,7.35,9.4308899403e-09,0,2.14416621448e-09,2.37960951462e-11,120,BOUNDARIES_FOUND,1.0661653907,1.26663012494,0.0651311767989,30,2.6798873723,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
dividend_call_sigma_400,dividend_call,call_volatility_sweep,sigma,0.4,call,1,1,0.05,0.08,0.4,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.064363084035,True,120,13,9.25,9.88939782842e-09,0,6.38461955527e-09,1.40132385843e-10,120,BOUNDARIES_FOUND,1.09990188658,1.73305843928,0.139830931381,30,2.60916787542,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
dividend_call_sigma_600,dividend_call,call_volatility_sweep,sigma,0.6,call,1,1,0.05,0.08,0.6,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.10264500021,True,120,18,14.9166666667,9.9799164488e-09,0,1.27232715474e-08,3.44462194175e-10,120,BOUNDARIES_FOUND,1.16623149207,2.3660336615,0.213362270473,30,2.70621566073,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
dividend_call_r_030,dividend_call,call_interest_rate_sweep,r,0.03,call,1,1,0.03,0.08,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.0521864581387,True,120,10,7.48333333333,9.96048274415e-09,0,2.25996397984e-09,3.24392510627e-11,120,BOUNDARIES_FOUND,1.03332536454,1.23328217079,0.0596177590106,30,2.85811435772,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
dividend_call_r_050,dividend_call,call_interest_rate_sweep,r,0.05,call,1,1,0.05,0.08,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.0515060408507,True,120,10,7.35,9.4308899403e-09,0,2.14416621448e-09,2.37960951462e-11,120,BOUNDARIES_FOUND,1.0661653907,1.26663012494,0.0651311767989,30,2.6798873723,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
dividend_call_r_080,dividend_call,call_interest_rate_sweep,r,0.08,call,1,1,0.08,0.08,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.0507458329666,True,120,10,7.23333333333,9.987201538e-09,0,2.03423922152e-09,2.07996249139e-11,120,BOUNDARIES_FOUND,1.06654900071,1.36659299441,0.0747415141334,30,2.61113612463,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
call_heatmap_q_030_sigma_200,dividend_call,call_q_sigma_heatmap,q_sigma,0.03,call,1,1,0.05,0.03,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,True,0.0502604169305,True,120,10,7.16666666667,9.66135207947e-09,0,1.50218972352e-09,3.45183883325e-11,120,BOUNDARIES_FOUND,1.67301123573,1.89785321428,0.0862630086394,30,2.76820769123,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
call_heatmap_q_030_sigma_400,dividend_call,call_q_sigma_heatmap,q_sigma,0.03,call,1,1,0.05,0.03,0.4,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,True,0.062371582957,True,120,13,8.925,9.94599202997e-09,0,7.64824503729e-09,6.14030932896e-11,120,BOUNDARIES_FOUND,1.68851058131,2.46592019789,0.162167584125,30,2.69247443725,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
