arm,boundary_conditional_mae,boundary_conditional_rmse,boundary_false_count,boundary_found_rate,boundary_missed_count,boundary_predicted_found,boundary_reference_found,delta_rmse,mae,max_abs_error,network_spec,normalized_lcp_residual_max,reference_source,regime_id,region,relative_l2,rmse,runtime_seconds,sample_count,scaled_gamma_rmse,seed,solver_converged,split,total_lcp_iterations,variant
A,nan,nan,0,1.0,0,0,0,0.0010990070918177929,0.0005469844432181083,0.0029275848333010905,not_applicable,9.44741161669035e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,payoff_kink_near,0.015202271039990797,0.000695497605384435,0.2781108971685171,605,0.022192905288204254,deterministic,True,test,1800,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0010990070918177929,0.0,0.0,not_applicable,9.44741161669035e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,maturity_row,0.0,0.0,0.2781108971685171,43,0.022192905288204254,deterministic,True,test,1800,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0010990070918177929,1.0301518283704487e-05,0.0002285963374921013,not_applicable,9.44741161669035e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,strict_interior,8.335137648081042e-05,3.189947196347022e-05,0.2781108971685171,4560,0.022192905288204254,deterministic,True,test,1800,CN+PSOR
B,nan,nan,0,1.0,0,0,0,0.0010990070917056881,7.263127264058505e-05,0.0029275848333446815,not_applicable,3.447585117858983e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,all,0.0006638455678045688,0.00023903550998009325,0.02836172003298998,5203,0.02219290528624735,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0010990070917056881,3.559759171769379e-08,8.4697967386208e-07,not_applicable,3.447585117858983e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,exercise_region,1.958920004224359e-06,1.2421789183372565e-07,0.02836172003298998,1354,0.02219290528624735,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0010990070917056881,9.816895619895512e-05,0.0029275848333446815,not_applicable,3.447585117858983e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,continuation_region,0.0006665407049299381,0.00027791716094773705,0.02836172003298998,3849,0.02219290528624735,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0010990070917056881,0.0005469844432886456,0.0029275848333446815,not_applicable,3.447585117858983e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,payoff_kink_near,0.015202271041297307,0.0006954976054442075,0.02836172003298998,605,0.02219290528624735,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0010990070917056881,0.0,0.0,not_applicable,3.447585117858983e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,maturity_row,0.0,0.0,0.02836172003298998,43,0.02219290528624735,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0010990070917056881,1.0301518280555581e-05,0.00022859633767516319,not_applicable,3.447585117858983e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r005_q000,strict_interior,8.33513765245541e-05,3.18994719802114e-05,0.02836172003298998,4560,0.02219290528624735,deterministic,True,test,120,CN+Policy Iteration
A,nan,nan,0,1.0,0,0,0,0.00119877525321551,7.402121528809009e-05,0.0029288489222904033,not_applicable,6.931274939474109e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,all,0.0006610907539129487,0.00024074248773758657,0.2958690640516579,5203,0.024710411964764454,deterministic,True,test,1920,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.00119877525321551,3.862304901637863e-08,9.571190714028704e-07,not_applicable,6.931274939474109e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,exercise_region,2.0769669668608697e-06,1.3278660345168363e-07,0.2958690640516579,1332,0.024710411964764454,deterministic,True,test,1920,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.00119877525321551,9.947841313423998e-05,0.0029288489222904033,not_applicable,6.931274939474109e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,continuation_region,0.0006637145056861461,0.00027910528131435406,0.2958690640516579,3871,0.024710411964764454,deterministic,True,test,1920,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.00119877525321551,0.0005517703923064758,0.0029288489222904033,not_applicable,6.931274939474109e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,payoff_kink_near,0.014126652251180503,0.0006997378390773923,0.2958690640516579,605,0.024710411964764454,deterministic,True,test,1920,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.00119877525321551,0.0,0.0,not_applicable,6.931274939474109e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,maturity_row,0.0,0.0,0.2958690640516579,43,0.024710411964764454,deterministic,True,test,1920,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.00119877525321551,1.1252477148797148e-05,0.0002285799970662139,not_applicable,6.931274939474109e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,strict_interior,8.826906911475657e-05,3.41629083764057e-05,0.2958690640516579,4560,0.024710411964764454,deterministic,True,test,1920,CN+PSOR
B,nan,nan,0,1.0,0,0,0,0.0011987752532317995,7.402121528689147e-05,0.0029288489222833226,not_applicable,3.438030540054691e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,all,0.0006610907539020945,0.0002407424877336339,0.028311248868703842,5203,0.024710411965314007,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0011987752532317995,3.8623049014817975e-08,9.571190736769089e-07,not_applicable,3.438030540054691e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,exercise_region,2.0769669669124633e-06,1.3278660345498218e-07,0.028311248868703842,1332,0.024710411965314007,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0011987752532317995,9.947841313262944e-05,0.0029288489222833226,not_applicable,3.438030540054691e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,continuation_region,0.0006637145056752489,0.00027910528130977157,0.028311248868703842,3871,0.024710411965314007,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0011987752532317995,0.0005517703922938415,0.0029288489222833226,not_applicable,3.438030540054691e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,payoff_kink_near,0.01412665225097096,0.0006997378390670128,0.028311248868703842,605,0.024710411965314007,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0011987752532317995,0.0,0.0,not_applicable,3.438030540054691e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,maturity_row,0.0,0.0,0.028311248868703842,43,0.024710411965314007,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0011987752532317995,1.1252477149105739e-05,0.00022857999702938225,not_applicable,3.438030540054691e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,strict_interior,8.826906910551849e-05,3.416290837283028e-05,0.028311248868703842,4560,0.024710411965314007,deterministic,True,test,120,CN+Policy Iteration
