regime_id,split,option_type,tolerance,converged,runtime_seconds,mean_iterations,max_iterations,max_normalized_lcp_residual,max_normalized_obstacle_violation,max_abs_difference_vs_1e12
put_T100_s020_r005_q003,train,put,1e-08,True,0.04901654098648578,5.333333333333333,8,9.79546743024029e-09,0.0,7.674284687245181e-07
put_T100_s020_r005_q003,train,put,1e-10,True,0.06991404190193862,7.908333333333333,11,9.967798808574457e-11,0.0,4.499828502868564e-09
put_T100_s020_r005_q003,train,put,1e-12,True,0.0940688750706613,10.358333333333333,13,9.711125133204934e-13,0.0,0.0
call_T100_s020_r005_q006,train,call,1e-08,True,0.03539854194968939,3.4166666666666665,8,9.883719143670571e-09,0.0,6.460070963609787e-05
call_T100_s020_r005_q006,train,call,1e-10,True,0.07016054191626608,7.925,11,9.97130833372367e-11,0.0,9.06851929799446e-08
call_T100_s020_r005_q006,train,call,1e-12,True,0.10446199995931238,11.575,14,9.893352944693547e-13,0.0,0.0
call_T100_s020_r005_q000,test,call,1e-08,True,0.09558495902456343,11.0,11,4.714778911515542e-09,0.0,7.757011522002699e-08
call_T100_s020_r005_q000,test,call,1e-10,True,0.14399616699665785,16.0,16,8.564440452566565e-11,0.0,1.4419798688436458e-10
call_T100_s020_r005_q000,test,call,1e-12,True,0.18988329195417464,22.0,22,5.558571168389089e-13,0.0,0.0
put_T025_s020_r001_q000,train,put,1e-08,True,0.05102420796174556,5.233333333333333,7,9.756161156726506e-09,0.0,3.4895520505014155e-06
put_T025_s020_r001_q000,train,put,1e-10,True,0.07044112496078014,7.841666666666667,11,9.723327698551998e-11,0.0,8.503442865126498e-08
put_T025_s020_r001_q000,train,put,1e-12,True,0.1003410000121221,11.325,14,9.897902809863357e-13,0.0,0.0
call_T025_s020_r001_q000,test,call,1e-08,True,0.05786133301444352,6.066666666666666,7,9.609723518923918e-09,0.0,7.394670776261769e-07
call_T025_s020_r001_q000,test,call,1e-10,True,0.09034741704817861,10.0,10,5.0341413953521315e-11,0.0,8.85282729068404e-10
call_T025_s020_r001_q000,test,call,1e-12,True,0.1215620000148192,14.0,14,5.041747231175161e-13,0.0,0.0
put_T200_s060_r010_q010,stress_holdout,put,1e-08,True,0.7368614999577403,86.20833333333333,100,9.998426965648812e-09,0.0,1.0829817510826789e-07
put_T200_s060_r010_q010,stress_holdout,put,1e-10,True,1.0752165419980884,127.425,144,9.999978969887913e-11,0.0,1.011131747774563e-09
put_T200_s060_r010_q010,stress_holdout,put,1e-12,True,1.4273391249589622,169.60833333333332,187,9.998503761043942e-13,0.0,0.0
call_T200_s060_r010_q010,stress_holdout,call,1e-08,True,0.19121962506324053,22.341666666666665,29,9.953122970311829e-09,0.0,9.004703792170332e-06
call_T200_s060_r010_q010,stress_holdout,call,1e-10,True,0.3131642499938607,37.06666666666667,50,9.994546662047231e-11,0.0,8.214192814826049e-08
call_T200_s060_r010_q010,stress_holdout,call,1e-12,True,0.43553795805200934,51.7,71,9.996456028263352e-13,0.0,0.0
put_T200_s020_r001_q010,train,put,1e-08,True,0.05202562501654029,5.641666666666667,10,9.624916832995118e-09,0.0,7.117340075191159e-06
put_T200_s020_r001_q010,train,put,1e-10,True,0.07844312500674278,8.741666666666667,13,9.980422879877745e-11,0.0,1.3306464563545006e-07
put_T200_s020_r001_q010,train,put,1e-12,True,0.11215391696896404,12.758333333333333,19,9.881832797026512e-13,0.0,0.0
call_T200_s020_r010_q010,train,call,1e-08,True,0.0485397910233587,5.291666666666667,9,9.818217435652299e-09,0.0,5.874285774476462e-08
call_T200_s020_r010_q010,train,call,1e-10,True,0.08122987498063594,9.108333333333333,12,9.790372152143133e-11,0.0,3.648403246181431e-10
call_T200_s020_r010_q010,train,call,1e-12,True,0.11413937492761761,13.008333333333333,15,9.467208621971597e-13,0.0,0.0
put_T050_s060_r005_q003,validation,put,1e-08,True,0.10784241603687406,12.275,21,9.978314822198589e-09,0.0,3.2814722030838697e-07
put_T050_s060_r005_q003,validation,put,1e-10,True,0.18554937501903623,21.008333333333333,33,9.955129549079874e-11,0.0,2.7366925575743675e-09
put_T050_s060_r005_q003,validation,put,1e-12,True,0.26449987501837313,30.591666666666665,45,9.921528862691896e-13,0.0,0.0
call_T050_s060_r005_q010,stress_holdout,call,1e-08,True,0.05862283299211413,6.116666666666666,10,9.970195577859029e-09,0.0,1.7134223074810606e-06
call_T050_s060_r005_q010,stress_holdout,call,1e-10,True,0.09614745795261115,10.941666666666666,13,9.682675241808539e-11,0.0,5.389660939769669e-10
call_T050_s060_r005_q010,stress_holdout,call,1e-12,True,0.13336391595657915,15.383333333333333,17,9.736441312237213e-13,0.0,0.0
call_T100_s060_r001_q006,train,call,1e-08,True,0.08909479202702641,10.008333333333333,13,9.878563889706164e-09,0.0,6.1501452480738905e-06
call_T100_s060_r001_q006,train,call,1e-10,True,0.14165062503889203,15.841666666666667,21,9.986182669189048e-11,0.0,5.969396810190375e-08
call_T100_s060_r001_q006,train,call,1e-12,True,0.21471850003581494,21.358333333333334,28,9.994388879865585e-13,0.0,0.0
