output_id,output_type,path,created,description,row_count,solver_name,solver_variant,downstream_use_status,review_status
dataset_v0_dry_run_npz,npz,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v0_dry_run/dataset_v0_dry_run.npz,True,Compressed dry-run arrays for accepted rows only.,41624,american_crank_nicolson_psor_price,baseline_cn_psor,v0_dry_run_only,READY_FOR_V1_SMALL_GRID_PLANNING
regime_manifest,csv,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v0_dry_run/regime_manifest.csv,True,Per-regime dry-run parameter and acceptance manifest.,8,american_crank_nicolson_psor_price,baseline_cn_psor,v0_dry_run_only,READY_FOR_V1_SMALL_GRID_PLANNING
diagnostic_summary,csv,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v0_dry_run/diagnostic_summary.csv,True,"Per-regime PSOR, LCP, boundary, and Greek diagnostics.",8,american_crank_nicolson_psor_price,baseline_cn_psor,v0_dry_run_only,READY_FOR_V1_SMALL_GRID_PLANNING
split_assignment,csv,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v0_dry_run/split_assignment.csv,True,Regime-level split assignments and accepted row counts.,8,american_crank_nicolson_psor_price,baseline_cn_psor,v0_dry_run_only,READY_FOR_V1_SMALL_GRID_PLANNING
schema_snapshot,csv,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v0_dry_run/schema_snapshot.csv,True,"Feature, label, mask, and audit schema snapshot.",33,american_crank_nicolson_psor_price,baseline_cn_psor,v0_dry_run_only,READY_FOR_V1_SMALL_GRID_PLANNING
output_manifest,csv,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v0_dry_run/output_manifest.csv,True,Manifest for every v0 dry-run output.,0,american_crank_nicolson_psor_price,baseline_cn_psor,v0_dry_run_only,READY_FOR_V1_SMALL_GRID_PLANNING
v0_dry_run_row_counts,png,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v0_dry_run/figures/v0_dry_run_row_counts.png,True,Optional v0 dry-run diagnostic figure.,0,american_crank_nicolson_psor_price,baseline_cn_psor,v0_dry_run_only,READY_FOR_V1_SMALL_GRID_PLANNING
v0_dry_run_diagnostics,png,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v0_dry_run/figures/v0_dry_run_diagnostics.png,True,Optional v0 dry-run diagnostic figure.,0,american_crank_nicolson_psor_price,baseline_cn_psor,v0_dry_run_only,READY_FOR_V1_SMALL_GRID_PLANNING
v0_dry_run_premium_distribution,png,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v0_dry_run/figures/v0_dry_run_premium_distribution.png,True,Optional v0 dry-run diagnostic figure.,0,american_crank_nicolson_psor_price,baseline_cn_psor,v0_dry_run_only,READY_FOR_V1_SMALL_GRID_PLANNING
