S_over_K,tau_over_T,V_over_K,Delta,scaled_Gamma,payoff_over_K,continuation_premium_over_K
0.5,0.5,0.53063139610189336,-0.84622392417412362,0.42692716356528404,0.5,0.03063139610189336
0.50249999999999995,0.5,0.5285171773050934,-0.84514835874317062,0.43353795579057419,0.49750000000000005,0.031017177305093346
0.505,0.5,0.52640566815942746,-0.8440561721344948,0.44022346088382308,0.495,0.031405668159427469
0.50749999999999995,0.5,0.52429691044729243,-0.8429471824013719,0.44697981097548212,0.49250000000000005,0.031796910447292381
0.51000000000000001,0.5,0.5221909463938611,-0.84182121726201797,0.45380314240996533,0.48999999999999999,0.032190946393861108
0.51249999999999996,0.5,0.52008781864294706,-0.84067811408591431,0.46068959823956512,0.48750000000000004,0.03258781864294702
0.51500000000000001,0.5,0.5179875702328951,-0.83951771987396384,0.46763533068243429,0.48499999999999999,0.032987570232895114
0.51749999999999996,0.5,0.5158902445725343,-0.8383398912325416,0.47463650354297482,0.48250000000000004,0.033390244572534256
0.52000000000000002,0.5,0.513795885417205,-0.83714449434154392,0.48168929459313808,0.47999999999999998,0.033795885417205018
0.52249999999999996,0.5,0.51170453684486961,-0.83593140491653395,0.48878989791312799,0.47750000000000004,0.034204536844869571
0.52500000000000002,0.5,0.50961624323232346,-0.83470050816509367,0.49593452619002831,0.47499999999999998,0.034616243232323485
0.52749999999999997,0.5,0.50753104923153425,-0.83345169873747094,0.50311941297291696,0.47250000000000003,0.035031049231534217
0.53000000000000003,0.5,0.50544899974609314,-0.83218488067165786,0.51034081488315075,0.46999999999999997,0.035448999746093168
0.53249999999999997,0.5,0.5033701399078272,-0.8308999673329942,0.51759501377845052,0.46750000000000003,0.03587013990782717
0.53500000000000003,0.5,0.50129451505355538,-0.82959688134842013,0.52487831886951164,0.46499999999999997,0.03629451505355541
0.53749999999999998,0.5,0.49922217070202834,-0.82827555453549717,0.53218706878790656,0.46250000000000002,0.036722170702028323
0.54000000000000004,0.5,0.4971531525310422,-0.82693592782632763,0.53951763360414462,0.45999999999999996,0.037153152531042233
0.54249999999999998,0.5,0.4950875063547544,-0.82557795118647959,0.54686641679476944,0.45750000000000002,0.037587506354754385
0.54500000000000004,0.5,0.49302527810120472,-0.82420158352907513,0.55422985715738093,0.45499999999999996,0.038025278101204762
0.54749999999999999,0.5,0.49096651379005884,-0.82280679262414769,0.56160443067268129,0.45250000000000001,0.038466513790058832
0.55000000000000004,0.5,0.48891125951058684,-0.82139355500340772,0.56898665231250634,0.44999999999999996,0.038911259510586882
0.55249999999999999,0.5,0.48685956139988135,-0.81996185586056369,0.57637307779305114,0.44750000000000001,0.039359561399881338
0.55500000000000005,0.5,0.48481146562132726,-0.81851168894733484,0.58376030527244216,0.44499999999999995,0.039811465621327313
