arm,audit_seconds,cn_generation_seconds,cn_high_delta_rmse,cn_high_price_rmse,cn_high_stable_gamma_rmse,convexity_violation_rate,high_boundary_conditional_mae,high_boundary_conditional_rmse,high_boundary_false_count,high_boundary_found_rate,high_boundary_missed_count,high_boundary_near_price_mae,high_boundary_near_price_max_abs_error,high_boundary_near_price_rmse,high_boundary_shape_error,high_continuation_price_mae,high_continuation_price_max_abs_error,high_continuation_price_rmse,high_delta_rmse,high_exercise_f1,high_exercise_precision,high_exercise_price_mae,high_exercise_price_max_abs_error,high_exercise_price_rmse,high_exercise_recall,high_maturity_near_price_mae,high_maturity_near_price_max_abs_error,high_maturity_near_price_rmse,high_price_mae,high_price_max_abs_error,high_price_relative_l2,high_price_rmse,high_reference_generation_seconds,high_stable_gamma_rmse,high_strict_interior_price_mae,high_strict_interior_price_max_abs_error,high_strict_interior_price_rmse,high_strike_near_price_mae,high_strike_near_price_max_abs_error,high_strike_near_price_rmse,modes,monotonicity_violation_rate,normalized_complementarity_max,normalized_equation_violation_max,normalized_full_lcp_residual_max,normalized_full_lcp_residual_p95,normalized_obstacle_violation_max,option_type,projected_obstacle_violation,projection,raw_negative_premium_max,reduction_boundary_conditional_mae,reduction_boundary_conditional_rmse,reduction_boundary_false_count,reduction_boundary_found_rate,reduction_boundary_missed_count,reduction_boundary_near_price_mae,reduction_boundary_near_price_max_abs_error,reduction_boundary_near_price_rmse,reduction_boundary_shape_error,reduction_continuation_price_mae,reduction_continuation_price_max_abs_error,reduction_continuation_price_rmse,reduction_delta_rmse,reduction_exercise_f1,reduction_exercise_precision,reduction_exercise_price_mae,reduction_exercise_price_max_abs_error,reduction_exercise_price_rmse,reduction_exercise_recall,reduction_maturity_near_price_mae,reduction_maturity_near_price_max_abs_error,reduction_maturity_near_price_rmse,reduction_price_mae,reduction_price_max_abs_error,reduction_price_relative_l2,reduction_price_rmse,reduction_stable_gamma_rmse,reduction_strict_interior_price_mae,reduction_strict_interior_price_max_abs_error,reduction_strict_interior_price_rmse,reduction_strike_near_price_mae,reduction_strike_near_price_max_abs_error,reduction_strike_near_price_rmse,regime_id,split
O,0.008788957959041,0.01414737501181662,0.001815701238613858,0.00011849405764805578,0.012585086154813432,0.3484964233627335,0.6703773036126144,0.7943513563844516,0.0,1.0,0.0,0.0005963050248753626,0.0015692292050843992,0.000747836141873571,0.030359522018676328,0.0007365772168487646,0.0026021088731499054,0.000919778599016475,0.0050721489802474816,0.854276500998106,0.9553520320549513,0.00022536915023028633,0.0014269936417830031,0.0003461029646021855,0.7725421218292908,5.1871677911211574e-05,0.0023748296877371304,0.0001522589196886735,0.0003594124374202555,0.0026021088731499054,0.0003697452887676711,0.0005569602845425653,0.596157707972452,0.06184589042473986,0.000373920227569977,0.0026021088731499054,0.0005596940980937297,0.0007581631069216969,0.0023748296877371304,0.0009425335516119687,4,0.16081267217630854,2.2842820574639422e-07,4.460520349840538e-05,0.0004385632993321683,0.00043334218892650896,0.0004385632993321683,call,0.0013010711213520994,raw,0.0013010711213520994,0.6782057477887669,0.8004184304736485,0.0,1.0,0.0,0.0006200993549213251,0.0015761202819989384,0.0007806339548647513,0.03076675009820125,0.0007649095477095334,0.002361391966532289,0.0009483189346160969,0.0053233794999553346,0.8482330614966406,0.9466514024041214,0.0002227386773166949,0.0014694540123072475,0.0003422873731705006,0.7683516075078982,5.761187276033873e-05,0.0013099039586795943,0.0001604736480457216,0.000366381926155833,0.002361391966532289,0.0003781012647763388,0.0005695469228415722,0.061564660676784594,0.00037343055420263323,0.002361391966532289,0.0005595309839127045,0.0009258729941865662,0.0019702746573104085,0.0011018212337820363,call_T050_s020_r005_q003,validation
O,0.008459041942842305,0.01414737501181662,0.001815701238613858,0.00011849405764805578,0.012585086154813432,0.11424404472532815,0.6814075706333623,0.8011617528827274,0.0,1.0,0.0,0.0005963050248753626,0.0015692292050843992,0.000747836141873571,0.030592770553435993,0.0006554041158986089,0.0026021088731499054,0.0008726288656108256,0.004640361664642753,0.854276500998106,0.9553520320549513,4.1014996344867996e-05,0.0014269936417830031,0.00014920355218378154,0.7725421218292908,4.205118475322597e-05,0.0023748296877371304,0.00014254338847566022,0.00020211327036759942,0.0026021088731499054,0.00030860101750096594,0.00046485652620570036,0.596157707972452,0.06460506139138575,0.00018812023820347076,0.0026021088731499054,0.0004491183840934,0.0007566200741722003,0.0023748296877371304,0.0009423165052292663,4,0.0,2.2782273496189432e-07,4.0025850508356685e-05,4.0025850508356685e-05,2.0335602565151642e-05,0.0,call,0.0,hard,0.0013010711213520994,0.6892360148095148,0.8072871497027191,0.0,1.0,0.0,0.0006200993549213251,0.0015761202819989384,0.0007806339548647513,0.030988958654592152,0.0006673331496808222,0.002361391966532289,0.0008926269725123399,0.004911256068576053,0.8482330614966406,0.9466514024041214,4.391334216852865e-05,0.0014694540123072475,0.00015935925171850854,0.7683516075078982,4.7791379602353136e-05,0.0013099039586795943,0.00015070497605149428,0.000209082759103177,0.002361391966532289,0.0003182166617034786,0.0004793406882078106,0.06640657853961164,0.00018763056483612697,0.002361391966532289,0.0004482733674083894,0.0009243299614370697,0.0019702746573104085,0.0011015871706130703,call_T050_s020_r005_q003,validation
O,0.008454291033558547,0.01414737501181662,0.001815701238613858,0.00011849405764805578,0.012585086154813432,0.24439197166469895,nan,nan,0.0,0.0,120.0,0.0006066146228012701,0.0015692292186746393,0.0007494431029476283,nan,0.0006552272044415212,0.0026021088731499054,0.0008724029494348904,0.00464767212403955,0.31908616385505706,0.8725693007860985,7.007913111632284e-05,0.0014269937052642234,0.0001568963115585939,0.1952416219218663,8.530327783350577e-05,0.0023748296877370663,0.0001533918812366575,0.0002235101435810067,0.0026021088731499054,0.0003097655408873813,0.0004666106885881774,0.596157707972452,0.06416981392577133,0.00020792633863088642,0.0026021088731499054,0.0004507840290758776,0.0007561417801862308,0.0023748296877370663,0.0009422279289278744,4,0.1553030303030303,2.258690485327554e-07,3.829294805242777e-05,3.829294805242777e-05,1.8537348812492317e-05,0.0,call,0.0,softplus,0.0013010711213520994,nan,nan,0.0,0.0,120.0,0.0006300979235844477,0.0015761202955891784,0.0007821150715363838,nan,0.0006670776885508604,0.002361391966532289,0.0008923694576302146,0.004913587706717237,0.3100386979285227,0.8452627223831196,7.309390215828716e-05,0.001469454053607433,0.00016662552820604327,0.1898346032335997,9.092225161530008e-05,0.0013099039586795935,0.0001608420871555925,0.0002304645125958796,0.002361391966532289,0.0003193360511860394,0.0004810268630362149,0.06597373518993054,0.00020743957776524257,0.002361391966532289,0.00044993192700963495,0.0009236087082958262,0.0019702746573104085,0.0011014770162252622,call_T050_s020_r005_q003,validation
O,0.008379374979995191,0.01414737501181662,0.001815701238613858,0.00011849405764805578,0.012585086154813432,0.3674560733384263,1.5433697072003834,1.668820282745287,0.0,0.8666666666666667,16.0,9.407144606133021e-05,0.00029271613390979834,0.00011545957164305294,0.22900656241445602,0.0002783314783846122,0.002930277551525342,0.00041118643704268824,0.003436745078468587,0.7521282476506357,0.9334522502744237,6.507980770159554e-05,0.00045093518281811115,0.00011028775654299918,0.6297907794852805,5.5924428133529424e-05,0.002930277551525342,0.00021423447410294196,0.00012099628634049322,0.002930277551525342,0.00015327446139114077,0.00023088269201222716,0.596157707972452,0.047931960192589766,0.00010658648179578183,0.0010391023146452405,0.00018203959690296593,0.0006454649783931042,0.002930277551525342,0.0007756402504987359,8,0.05440771349862259,8.616468366034595e-08,4.9241481181394065e-05,0.00021874880744160522,0.00021304700053900516,0.00021874880744160522,call,0.0006489548855337438,raw,0.0006489548855337438,1.5506021440656603,1.6761854187284326,0.0,0.8666666666666667,16.0,8.943549852480497e-05,0.00029271613390979834,0.00010555376426624634,0.22974687906265864,0.00023574794480924106,0.0011560750778778339,0.000328623992303165,0.0028246513420774545,0.7478116343490305,0.9260428100987925,6.43378130479916e-05,0.00045093517394773476,0.0001092993465677528,0.6271139193458465,3.592641952681052e-05,0.0003913130494686188,6.86680591602215e-05,0.00010975137094034094,0.0011560750778778339,0.0001283734174372869,0.00019337328828908707,0.04440530240825561,0.00010875743323698653,0.0011560750778778339,0.00018940376377516813,0.00032956219284936597,0.0009502535926696476,0.0004012674986356693,call_T050_s020_r005_q003,validation
O,0.008454374969005585,0.01414737501181662,0.001815701238613858,0.00011849405764805578,0.012585086154813432,0.20584762830752135,1.5460688001430967,1.6717048892824158,0.0,0.8666666666666667,16.0,4.570459854441184e-05,0.00015757204342514708,6.953583008732928e-05,0.2283740274662096,0.0002334130383497955,0.002930277551525342,0.00037883770322835514,0.0032398629238121605,0.7521282476506357,0.9334522502744237,3.7116040279255424e-05,0.00045093518281811115,9.457390475632112e-05,0.6297907794852805,4.1414437812102266e-05,0.002930277551525342,0.0002112500743667472,8.85868534472633e-05,0.002930277551525342,0.00013961759143676228,0.0002103108702559508,0.596157707972452,0.04737502717726483,7.075414044833156e-05,0.0010391023146452405,0.0001505586591222191,0.0006445523503623353,0.002930277551525342,0.0007754896091119968,8,0.034366391184573006,8.616468366034595e-08,4.9241481181394065e-05,4.9241481181394065e-05,1.897592451378751e-05,0.0,call,0.0,hard,0.0006489548855337438,1.5533012370083734,1.6790798168010428,0.0,0.8666666666666667,16.0,5.524486145712197e-05,0.0001585815695916981,7.810838140006887e-05,0.22911224096778895,0.00018818393469856507,0.0011560750778778339,0.00028400324896085113,0.0025617991439829293,0.7478116343490305,0.9260428100987925,3.7390618124142216e-05,0.00045093517394773476,9.482433604093847e-05,0.6271139193458465,2.1416429205383365e-05,0.00030068854839261394,5.739259734182022e-05,7.734193804711103e-05,0.0011560750778778339,0.00011104382499917455,0.00016726912793124231,0.04544692249914705,7.265860359276928e-05,0.0011560750778778339,0.0001579684359695048,0.00032864956481859703,0.0009502535926696476,0.0004008470424936339,call_T050_s020_r005_q003,validation
O,0.008317457977682352,0.01414737501181662,0.001815701238613858,0.00011849405764805578,0.012585086154813432,0.31509132578651294,nan,nan,0.0,0.0,120.0,7.782062139677035e-05,0.0001734354295522822,9.31903256438241e-05,nan,0.00023365440333367448,0.002930277551508814,0.0003785772697331591,0.0032493015491557435,0.0636459802538787,0.6660516605166051,8.331363686542039e-05,0.0004520297298743535,0.00011308615917690725,0.03341973708572486,8.463186598000057e-05,0.002930277551508814,0.00021811120755836684,0.00012273431868166433,0.002930277551508814,0.0001439453217574149,0.000216829882083925,0.596157707972452,0.04649350577813515,0.00010529816134206743,0.0010391023146452405,0.00015978758534996852,0.0006445540610774415,0.002930277551508814,0.0007754378686249643,8,0.05440771349862259,8.61606764817858e-08,5.1942140122973234e-05,5.1942140122973234e-05,1.546617256089875e-05,0.0,call,0.0,softplus,0.0006489548855337438,nan,nan,0.0,0.0,120.0,8.206528728213202e-05,0.00017453993474436658,9.80451791806519e-05,nan,0.00018838955260878625,0.0011560750778778321,0.0002835224679413977,0.002565705380327844,0.06387119603680112,0.6660516605166051,8.373389898066738e-05,0.0004520297210039771,0.00011339145377850342,0.03354395093848727,6.443606250777094e-05,0.00026702773743526864,7.877418605049458e-05,0.0001114614640666228,0.0011560750778778321,0.00011640986182217647,0.000175352173520109,0.044499251659718776,0.00010729294414875255,0.0011560750778778321,0.00016676647607448514,0.0003283052510323991,0.0009502535926696476,0.0004006552070817003,call_T050_s020_r005_q003,validation
O,0.00846783397719264,0.01414737501181662,0.001815701238613858,0.00011849405764805578,0.012585086154813432,0.45246197652614767,1.359252242631208,1.3732082560336998,0.0,0.8416666666666667,19.0,8.412892217008749e-05,0.0001844843263566487,0.00010185559439019694,0.10890851842958926,0.00017473832775386405,0.0029141517270930076,0.0002844930378645512,0.002530325931359766,0.7334457560427207,0.9336004579278764,3.622758470552409e-05,0.0001952799454518761,5.648683400504373e-05,0.6039622292168118,3.385330341532999e-05,0.0029141517270930076,0.00019864537139937036,7.25463295018206e-05,0.0029141517270930076,0.0001019333997829484,0.00015354585189366712,0.596157707972452,0.032045338921298634,5.806452891287813e-05,0.0005426399844161711,9.11199946265458e-05,0.0005106876133213279,0.0029141517270930076,0.0006284299225710057,12,0.11480716253443526,6.864302621099884e-08,1.2337179512709682e-05,0.00014783465790451118,0.00014231738361602798,0.00014783465790451118,call,0.0004385766978103542,raw,0.0004385766978103542,1.3647936086862207,1.3787150904210794,0.0,0.8416666666666667,19.0,8.528782926606425e-05,0.0001844843263566487,0.0001004063380467651,0.10906069824143395,0.0001327679493000182,0.0005494171624524221,0.00017531764028427742,0.0015297427184602867,0.7341971830985916,0.9324556382369776,3.611228876224172e-05,0.0001952799454518761,5.639472937878337e-05,0.605463668463111,1.457017849006232e-05,0.00021126971076197015,3.6440488519014985e-05,6.172032832415928e-05,0.0005494171624524221,6.796433770259729e-05,0.0001023770164439347,0.02794246249655924,6.180461696323417e-05,0.0005494171624524221,9.99771776253071e-05,0.00017317081888014715,0.0005175117732758167,0.00020957226403703894,call_T050_s020_r005_q003,validation
O,0.008203458040952682,0.01414737501181662,0.001815701238613858,0.00011849405764805578,0.012585086154813432,0.2516841447322731,1.3645431130564838,1.3783330844225128,0.0,0.8416666666666667,19.0,1.4882806144064786e-05,0.00012008889657977306,2.834903927100712e-05,0.10845103417518027,0.00015638605531466474,0.0029141517270930076,0.00027280205633883035,0.0024911048165365828,0.7334457560427207,0.9336004579278764,1.8287129321970077e-05,0.00018576412381676732,3.904224214372371e-05,0.6039622292168118,3.333468933149331e-05,0.0029141517270930076,0.00019861739177645687,5.449789203530625e-05,0.0029141517270930076,9.537113363628283e-05,0.00014366088045164433,0.596157707972452,0.03275151623301251,3.799874333363039e-05,0.0005426399844161711,7.068638618839832e-05,0.0005106876133213279,0.0029141517270930076,0.0006284299225710057,12,0.023347107438016528,6.864302621099884e-08,1.2337179512709682e-05,1.2337179512709682e-05,1.0577892032154171e-05,0.0,call,0.0,hard,0.0004385766978103542,1.3700844791114961,1.3838430457363236,0.0,0.8416666666666667,19.0,2.3505087610304712e-05,0.00013247421452711183,4.0823732489977255e-05,0.10859684200820927,0.00011469362541707472,0.0005175117732758167,0.0001545657360821275,0.0014654182759179638,0.7341971830985916,0.9324556382369776,1.8073181662697134e-05,0.00018576412381676732,3.8709567809266746e-05,0.605463668463111,1.4051564406225637e-05,0.00021126971076197015,3.629156167045126e-05,4.367189085764492e-05,0.0005175117732758167,5.7227259070608824e-05,8.620338608389227e-05,0.02938925261643673,4.159573225100899e-05,0.0004448123808284467,8.082791370788185e-05,0.00017317081888014715,0.0005175117732758167,0.00020957226403703894,call_T050_s020_r005_q003,validation
O,0.00836412503849715,0.01414737501181662,0.001815701238613858,0.00011849405764805578,0.012585086154813432,0.40669490936870617,nan,nan,0.0,0.0,120.0,4.6160839945921334e-05,0.0001437663135803735,5.638374383064468e-05,nan,0.00015558788706212422,0.0029141517270930076,0.0002719518509930071,0.0025168143770357672,0.06467795395503001,1.0,7.09192393798669e-05,0.00020026418334428975,7.74809956071682e-05,0.03341973708572486,8.291590893126709e-05,0.0029141517270930076,0.00020774041000585038,9.312010943329125e-05,0.0029141517270930076,0.00010246220240558084,0.00015434240581366386,0.596157707972452,0.031909399543486455,7.710016634570744e-05,0.0005426399844161711,9.09372888072352e-05,0.0005111001034562819,0.0029141517270930076,0.0006284901177713368,12,0.10950413223140495,6.863989527290083e-08,1.3437667173091062e-05,1.3437667173091062e-05,1.057764591075701e-05,0.0,call,0.0,softplus,0.0004385766978103542,nan,nan,0.0,0.0,120.0,4.9872531091434136e-05,0.00015065739049491267,6.253082503137602e-05,nan,0.00011396269212168542,0.0005175117732758167,0.0001529532187224445,0.001499036670396346,0.0649105457160838,1.0,7.074376023854357e-05,0.00020026418334428975,7.726765529623994e-05,0.03354395093848727,6.350822804477721e-05,0.00021126971076197015,7.069666194693978e-05,8.219422378438795e-05,0.0005175117732758167,6.830609549152434e-05,0.00010289181794071276,0.028653771607188776,8.068223959589492e-05,0.0004268321779160459,9.888933804042266e-05,0.00017352523259560372,0.0005175117732758167,0.00020968721201341728,call_T050_s020_r005_q003,validation
O,0.008223833050578833,0.01414737501181662,0.001815701238613858,0.00011849405764805578,0.012585086154813432,0.39204111396624763,1.74950571430049,1.909212767648126,0.0,0.2,96.0,2.9362566419597706e-05,8.380525106521652e-05,3.824035970482487e-05,0.3934766668632613,0.00012816995612534516,0.0030214303299073344,0.00025174913584250186,0.0021222106417220863,0.7629189552740725,0.9667613636363637,2.5191224827003572e-05,0.00019041647186718376,3.761928705028129e-05,0.6300685058322533,3.8676659597434594e-05,0.0030214303299073344,0.00021391853823881328,5.219316113287977e-05,0.0030214303299073344,8.822712353812128e-05,0.00013289960771086526,0.596157707972452,0.020852527558877784,3.5454369420512955e-05,0.0002975339649373687,5.2108865047306786e-05,0.000494401360911011,0.0030214303299073344,0.0006084426173083361,16,0.1190771349862259,4.982060983205529e-08,2.3275356776973724e-05,3.493761238369665e-05,3.026315389485561e-05,3.493761238369665e-05,call,0.00010364845808830125,raw,0.00010364845808847364,1.752708550338802,1.9130685621633046,0.0,0.2,96.0,3.54452019700302e-05,9.335095135387661e-05,4.637871095493401e-05,0.39345651526363196,6.803315966105462e-05,0.00025454924449509324,8.68652785165636e-05,0.0009104351288836292,0.7639591057184586,0.9659090909090909,2.488644895031873e-05,0.00019036106498022395,3.700611081663561e-05,0.63185281546181,1.7299692869323664e-05,0.00021508800845174147,3.0703198089758166e-05,3.631777815235033e-05,0.00025454924449509324,3.639617904942648e-05,5.482481470421407e-05,0.017699859547296817,3.677692539386933e-05,0.00025454924449509324,5.483727123104847e-05,8.014404462351441e-05,0.00022270195487721772,9.588893760914866e-05,call_T050_s020_r005_q003,validation
