all_gates_pass,boundary_found_count,boundary_roundtrip_max,boundary_roundtrip_pass,canonical_points,endpoint_max_error,endpoint_pass,failure_reason,max_row_pairing_relative_error,minimum_aligned_multiplier,multiplier_nonnegative_pass,multiplier_roundtrip_rmse,no_boundary_count,option_type,pairing_pass,regime_id,source_multiplier_correction_max,status,surface_rmse_pass,surface_roundtrip_rmse,trajectory_pairing_relative_error
True,120,0.0,True,3841,0.0,True,,0.0001725068474826511,0.0,True,1.5682389723247625e-09,0,put,True,put_T025_s020_r001_q000,0.0,COMPLETE,True,6.055117365136279e-07,5.5435234407686106e-05
False,120,0.0,True,3841,0.0,True,,0.0011425175421184404,0.0,True,2.5543958461692555e-11,0,put,False,put_T025_s020_r001_q003,0.0,COMPLETE,True,6.387833814662466e-07,0.0009695753241471607
False,120,0.0,True,3841,0.0,True,,0.0025972383683852732,0.0,True,5.337388543623232e-11,0,put,False,put_T025_s020_r001_q006,0.0,COMPLETE,True,2.6144817345004993e-07,0.0013639478683621679
False,120,0.0,True,3841,0.0,True,,0.012389635514199176,0.0,True,7.183642172087939e-11,0,put,False,put_T025_s020_r001_q010,0.0,COMPLETE,True,6.489150735091726e-07,0.00984945157825621
True,120,0.0,True,3841,0.0,True,,0.00014244424601330002,0.0,True,3.375285027047611e-09,0,put,True,put_T025_s020_r005_q000,0.0,COMPLETE,True,3.372606023468832e-07,2.0992586385119492e-05
True,120,0.0,True,3841,0.0,True,,0.0001366273738618343,0.0,True,2.9704145243186427e-09,0,put,True,put_T025_s020_r005_q003,0.0,COMPLETE,True,4.740612915181814e-07,7.026915303307895e-05
False,120,0.0,True,3841,0.0,True,,0.00018709999292360638,0.0,True,9.863881667313659e-10,0,put,False,put_T025_s020_r005_q006,0.0,COMPLETE,True,8.123364337531551e-07,0.00015158460521295816
False,120,0.0,True,3841,0.0,True,,0.000527479202924539,0.0,True,8.039963393129683e-10,0,put,False,put_T025_s020_r005_q010,0.0,COMPLETE,True,1.2479514443361321e-06,0.0004934376217535963
True,120,0.0,True,3841,0.0,True,,0.00013567005241855673,0.0,True,4.340281596880645e-09,0,put,True,put_T025_s020_r010_q000,0.0,COMPLETE,True,2.2495572027579785e-07,3.2843838454682097e-06
True,120,0.0,True,3841,0.0,True,,0.00012015130415044,0.0,True,3.97410675055392e-09,0,put,True,put_T025_s020_r010_q003,0.0,COMPLETE,True,2.5681566762037805e-07,7.729025184434824e-06
