all_gates_pass,boundary_found_count,boundary_roundtrip_max,boundary_roundtrip_pass,canonical_points,endpoint_max_error,endpoint_pass,failure_reason,max_row_pairing_relative_error,minimum_aligned_multiplier,multiplier_nonnegative_pass,multiplier_roundtrip_rmse,no_boundary_count,option_type,pairing_pass,regime_id,source_multiplier_correction_max,status,surface_rmse_pass,surface_roundtrip_rmse,trajectory_pairing_relative_error
True,120,0.0,True,3841,0.0,True,,5.173151062730452e-05,0.0,True,3.2132031018403695e-07,0,call,True,call_T050_s020_r010_q006,0.0,COMPLETE,True,5.803734140670837e-07,1.1576121718250519e-05
True,120,0.0,True,3841,0.0,True,,2.119265204515155e-05,0.0,True,1.3527451176119202e-06,0,call,True,call_T050_s020_r010_q010,0.0,COMPLETE,True,2.6393554145458664e-07,2.3430944036669256e-06
True,120,0.0,True,3841,0.0,True,,0.0002519820049288412,0.0,True,2.5519267618064e-06,0,call,True,call_T050_s040_r001_q003,0.0,COMPLETE,True,5.848213413684678e-07,8.721741961017225e-05
True,120,0.0,True,3841,0.0,True,,0.00018333701691040957,0.0,True,7.347699210877598e-06,0,call,True,call_T050_s040_r001_q006,0.0,COMPLETE,True,4.62054674971936e-07,6.862764738310709e-05
True,120,0.0,True,3841,0.0,True,,0.00014186449704542333,0.0,True,1.111360400830241e-05,0,call,True,call_T050_s040_r001_q010,0.0,COMPLETE,True,3.294390778415065e-07,5.27244034468281e-05
False,120,0.0,True,3841,0.0,True,,0.05854029626762314,0.0,True,4.317922923995552e-09,0,call,False,call_T050_s040_r010_q003,0.0,COMPLETE,True,1.1025351468705432e-06,0.0034672838390227023
True,120,0.0,True,3841,0.0,True,,0.0002452488440092556,0.0,True,7.34014429875874e-08,0,call,True,call_T050_s040_r010_q006,0.0,COMPLETE,True,2.395186656121691e-07,6.409542275544904e-05
True,120,0.0,True,3841,0.0,True,,0.00015423038649401067,0.0,True,5.047036761916878e-06,0,call,True,call_T050_s040_r010_q010,0.0,COMPLETE,True,5.758423814789804e-07,4.7407657308740825e-05
False,120,0.0,True,3841,0.0,True,,0.0007456825020662997,0.0,True,9.859658341924776e-07,0,call,False,call_T050_s060_r001_q003,0.0,COMPLETE,True,4.0050851887618957e-07,0.00020882967602732473
False,120,0.0,True,3841,0.0,True,,0.00048589089336473803,0.0,True,9.31527831774491e-06,0,call,False,call_T050_s060_r001_q006,0.0,COMPLETE,True,7.147324595151996e-07,0.00015558242376351286
False,55,0.0,True,3841,0.0,True,,0.1177711531746798,0.0,True,2.751746894588051e-09,65,call,False,call_T050_s060_r010_q003,0.0,COMPLETE,True,9.534231696440658e-07,0.0027563056262554014
False,120,0.0,True,3841,0.0,True,,0.0008587225260091666,0.0,True,6.649148639859663e-09,0,call,False,call_T050_s060_r010_q006,0.0,COMPLETE,True,2.86827714671652e-07,0.00019781635598006042
True,120,0.0,True,3841,0.0,True,,8.95645867786542e-05,0.0,True,4.196267557777814e-06,0,call,True,call_T100_s020_r001_q003,0.0,COMPLETE,True,2.887876481348359e-07,3.5283148934042075e-05
True,120,0.0,True,3841,0.0,True,,6.276760128080714e-05,0.0,True,7.663141149518986e-06,0,call,True,call_T100_s020_r001_q006,0.0,COMPLETE,True,1.7509383973815098e-07,2.6740177777047598e-05
True,120,0.0,True,3841,0.0,True,,4.456646283224099e-05,0.0,True,1.017276961573913e-05,0,call,True,call_T100_s020_r001_q010,0.0,COMPLETE,True,1.2474274229203352e-07,2.0314338328690532e-05
True,120,0.0,True,3841,0.0,True,,0.00011574897339047649,0.0,True,1.6607392613902485e-07,0,call,True,call_T100_s020_r005_q003,0.0,COMPLETE,True,3.456029467821793e-07,2.7755951869645673e-05
True,120,0.0,True,3841,0.0,True,,5.5597190962152215e-05,0.0,True,3.9656267704537065e-06,0,call,True,call_T100_s020_r005_q006,0.0,COMPLETE,True,2.902990480160302e-07,1.7345766241261275e-05
True,120,0.0,True,3841,0.0,True,,4.948028293888826e-05,0.0,True,7.532108421548836e-06,0,call,True,call_T100_s020_r005_q010,0.0,COMPLETE,True,1.704983319654818e-07,1.697084900622434e-05
False,120,0.0,True,3841,0.0,True,,0.0078017557699947915,0.0,True,4.936784618175756e-09,0,call,False,call_T100_s020_r010_q003,0.0,COMPLETE,True,5.557283019804319e-07,0.0025464842621724243
True,120,0.0,True,3841,0.0,True,,9.79554606477625e-05,0.0,True,1.5686509390331634e-06,0,call,True,call_T100_s020_r010_q006,0.0,COMPLETE,True,6.593287004706606e-07,2.9857192810333284e-05
True,120,0.0,True,3841,0.0,True,,3.847071692374972e-05,0.0,True,4.456281709891147e-06,0,call,True,call_T100_s020_r010_q010,0.0,COMPLETE,True,2.916377198564174e-07,8.944027117352771e-06
False,120,0.0,True,3841,0.0,True,,0.0004085902823343734,0.0,True,8.12541188815861e-06,0,call,False,call_T100_s040_r001_q003,0.0,COMPLETE,True,7.082837724946853e-07,0.00013867286092796965
True,120,0.0,True,3841,0.0,True,,0.00027691916819381617,0.0,True,2.1019250161902688e-05,0,call,True,call_T100_s040_r001_q006,0.0,COMPLETE,True,5.613275122136196e-07,9.442236385231832e-05
True,120,0.0,True,3841,0.0,True,,0.00018925064578411357,0.0,True,3.1936874938767515e-05,0,call,True,call_T100_s040_r001_q010,0.0,COMPLETE,True,4.0995786848505283e-07,7.25703196421707e-05
False,120,0.0,True,3841,0.0,True,,0.0006870713166430312,0.0,True,7.048231435799107e-09,0,call,False,call_T100_s040_r005_q003,0.0,COMPLETE,True,8.287291607904976e-08,0.00016913643469312494
True,120,0.0,True,3841,0.0,True,,0.0003187701899443134,0.0,True,1.2390396958387805e-05,0,call,True,call_T100_s040_r005_q006,0.0,COMPLETE,True,7.274516578247433e-07,9.956900628411507e-05
True,120,0.0,True,3841,0.0,True,,0.0002146192337802305,0.0,True,2.635416127718358e-05,0,call,True,call_T100_s040_r005_q010,0.0,COMPLETE,True,5.121868511574275e-07,7.508113193506965e-05
False,67,0.0,True,3841,0.0,True,,0.11749189250351552,0.0,True,8.23645737391781e-09,53,call,False,call_T100_s040_r010_q003,0.0,COMPLETE,True,2.547874854763914e-07,0.004102762244212482
False,120,0.0,True,3841,0.0,True,,0.0005493846733694685,0.0,True,1.1544153692881912e-06,0,call,False,call_T100_s040_r010_q006,0.0,COMPLETE,True,2.982259427278017e-07,0.0001434348803626956
True,120,0.0,True,3841,0.0,True,,0.00025192708399327706,0.0,True,1.841055278056516e-05,0,call,True,call_T100_s040_r010_q010,0.0,COMPLETE,True,6.91602803176987e-07,7.948252754592273e-05
False,120,0.0,True,3841,0.0,True,,0.0017416203541115007,0.0,True,2.295548643530266e-06,0,call,False,call_T100_s060_r001_q003,0.0,COMPLETE,True,3.1026367380444536e-07,0.0003851476181834565
False,120,0.0,True,3841,0.0,True,,0.0008703404478957891,0.0,True,2.5864677134960826e-05,0,call,False,call_T100_s060_r001_q006,0.0,COMPLETE,True,7.703171175322431e-07,0.0002428889712987215
False,120,0.0,True,3841,0.0,True,,0.004562735510667024,0.0,True,1.515009860244144e-08,0,call,False,call_T100_s060_r005_q003,0.0,COMPLETE,True,9.291201169974466e-08,0.0005518399252916242
False,120,0.0,True,3841,0.0,True,,0.0012173358347588822,0.0,True,7.657905645358667e-06,0,call,False,call_T100_s060_r005_q006,0.0,COMPLETE,True,5.346029200441068e-07,0.0003016443593652775
,28,,,3841,,,source multiplier minimum -1.066e-14 is below the frozen -1e-14 rule,,,,,,call,,call_T100_s060_r010_q003,,FAILED_SOURCE_MULTIPLIER,,,
False,120,0.0,True,3841,0.0,True,,0.0023180974242541516,0.0,True,2.6337150136146158e-08,0,call,False,call_T100_s060_r010_q006,0.0,COMPLETE,True,6.281702334654988e-08,0.0004431280917336466
True,120,0.0,True,3841,0.0,True,,0.00012975425328737745,0.0,True,1.1669259517771403e-05,0,call,True,call_T200_s020_r001_q003,0.0,COMPLETE,True,3.5246809410568774e-07,4.861349711679236e-05
True,120,0.0,True,3841,0.0,True,,7.423119586763246e-05,0.0,True,1.7640754185833197e-05,0,call,True,call_T200_s020_r001_q006,0.0,COMPLETE,True,1.7815897124925154e-07,3.042809269202433e-05
True,120,0.0,True,3841,0.0,True,,5.5059082876399824e-05,0.0,True,2.4215380728563454e-05,0,call,True,call_T200_s020_r001_q010,0.0,COMPLETE,True,1.464274850858656e-07,2.3646142142455707e-05
True,120,0.0,True,3841,0.0,True,,0.00019767679053064876,0.0,True,1.5545263700312293e-06,0,call,True,call_T200_s020_r005_q003,0.0,COMPLETE,True,5.411002631927327e-07,5.6755034642126476e-05
True,120,0.0,True,3841,0.0,True,,9.02430505015598e-05,0.0,True,1.2927385013376154e-05,0,call,True,call_T200_s020_r005_q006,0.0,COMPLETE,True,3.5926051449109616e-07,3.114055569306444e-05
True,120,0.0,True,3841,0.0,True,,5.966681261908248e-05,0.0,True,2.0543424901356253e-05,0,call,True,call_T200_s020_r005_q010,0.0,COMPLETE,True,1.9192613704931036e-07,2.3131405300066088e-05
False,120,0.0,True,3841,0.0,True,,0.0176294314928858,0.0,True,1.3999783446260723e-08,0,call,False,call_T200_s020_r010_q003,0.0,COMPLETE,True,4.520483302703458e-07,0.004187984234294495
True,120,0.0,True,3841,0.0,True,,0.0001777131444105111,0.0,True,6.05842869615134e-06,0,call,True,call_T200_s020_r010_q006,0.0,COMPLETE,True,7.468742465601251e-07,5.455273385035736e-05
True,120,0.0,True,3841,0.0,True,,7.02861955839263e-05,0.0,True,1.339823255496889e-05,0,call,True,call_T200_s020_r010_q010,0.0,COMPLETE,True,3.1940845648996344e-07,1.675420840657165e-05
False,120,0.0,True,3841,0.0,True,,0.0007019730097550981,0.0,True,2.351651568951765e-05,0,call,False,call_T200_s040_r001_q003,0.0,COMPLETE,True,7.686517587862113e-07,0.00022506898598235222
False,120,0.0,True,3841,0.0,True,,0.00037916024417451873,0.0,True,6.447163377964827e-05,0,call,False,call_T200_s040_r001_q006,0.0,COMPLETE,True,6.90056812917942e-07,0.0001380485737479868
True,120,0.0,True,3841,0.0,True,,0.0002442005474197152,0.0,True,8.905085087858947e-05,0,call,True,call_T200_s040_r001_q010,0.0,COMPLETE,True,4.845200083287598e-07,9.577768316449214e-05
False,120,0.0,True,3841,0.0,True,,0.0015930078429562766,0.0,True,2.5348952414591495e-08,0,call,False,call_T200_s040_r005_q003,0.0,COMPLETE,True,6.599753830160363e-08,0.0003683817083869509
False,120,0.0,True,3841,0.0,True,,0.0005390428170759222,0.0,True,4.17267329855897e-05,0,call,False,call_T200_s040_r005_q006,0.0,COMPLETE,True,8.22737619852639e-07,0.00016945739551333636
False,120,0.0,True,3841,0.0,True,,0.0002948643317922044,0.0,True,7.940647000012244e-05,0,call,False,call_T200_s040_r005_q010,0.0,COMPLETE,True,6.14152848185692e-07,0.00010831666928653967
,120,,,3841,,,source multiplier minimum -1.066e-14 is below the frozen -1e-14 rule,,,,,,call,,call_T200_s060_r001_q003,,FAILED_SOURCE_MULTIPLIER,,,
False,120,0.0,True,3841,0.0,True,,0.0016632456649466909,0.0,True,6.056270895390432e-05,0,call,False,call_T200_s060_r001_q006,0.0,COMPLETE,True,7.053677212605788e-07,0.0004108271042917971
,87,,,3841,,,source multiplier minimum -1.110e-14 is below the frozen -1e-14 rule,,,,,,call,,call_T200_s060_r005_q003,,FAILED_SOURCE_MULTIPLIER,,,
,120,,,3841,,,source multiplier minimum -1.021e-14 is below the frozen -1e-14 rule,,,,,,call,,call_T200_s060_r005_q006,,FAILED_SOURCE_MULTIPLIER,,,
,14,,,3841,,,source multiplier minimum -1.066e-14 is below the frozen -1e-14 rule,,,,,,call,,call_T200_s060_r010_q003,,FAILED_SOURCE_MULTIPLIER,,,
,120,,,3841,,,source multiplier minimum -1.465e-14 is below the frozen -1e-14 rule,,,,,,call,,call_T200_s060_r010_q006,,FAILED_SOURCE_MULTIPLIER,,,
