regime_id,option_type,method,M,N,reference_N,evaluation_nodes,runtime_seconds,converged,max_obstacle_violation,value_max_error,delta_max_error,gamma_max_error,value_rmse,delta_rmse,gamma_rmse,boundary_found,reference_boundary_found,boundary_abs_error,delta_empirical_order,gamma_empirical_order
put_T100_s020_r005_q003,put,cn_quadratic,240,60,960,18,0.012648290954530239,True,0.0,8.477776184401264e-07,1.4106316085227277e-05,0.00042923909616687794,4.694886776787819e-07,9.490107625847117e-06,0.00015024051727430585,True,True,1.65748351592665e-05,nan,nan
put_T100_s020_r005_q003,put,cn_quadratic,240,120,960,18,0.024160166969522834,True,0.0,2.3270527454988255e-07,3.943388824145799e-06,0.00011146871236045186,1.3098247470892915e-07,2.5800146824473503e-06,4.050833228283405e-05,True,True,1.656472124245134e-05,1.8388333976654136,1.9451426628012338
put_T100_s020_r005_q003,put,cn_quadratic,240,240,960,18,0.04754599998705089,True,0.0,7.461534412556148e-08,9.091133191807543e-07,2.9842610382857515e-05,3.737939605840839e-08,5.710290577838589e-07,1.0659141143035621e-05,True,True,1.6562012703724704e-05,2.116903929558531,1.901193182373957
put_T100_s020_r005_q003,put,cn_quadratic,240,480,960,18,0.09269545902498066,True,0.0,1.1456331217019056e-08,1.947618895048464e-07,5.868094210548236e-06,6.512138681051122e-09,1.3540649751934554e-07,2.0056972043025493e-06,True,True,1.055856872933525e-06,2.2227487324578656,2.34640979769219
put_T100_s020_r005_q003,put,rannacher_cn_quadratic,240,60,960,18,0.012667916947975755,True,0.0,9.195114261673076e-07,1.3393776388315182e-05,0.0004322031421755135,4.875424812719485e-07,8.987716933526898e-06,0.00015046045703702372,True,True,1.657559490519933e-05,nan,nan
put_T100_s020_r005_q003,put,rannacher_cn_quadratic,240,120,960,18,0.024570874986238778,True,0.0,2.4769960180193173e-07,3.7868130189355753e-06,0.00011200625027463218,1.2932183594024202e-07,2.473177682624255e-06,4.053019722093607e-05,True,True,1.6564879227520812e-05,1.8225066949975546,1.9481303197145157
put_T100_s020_r005_q003,put,rannacher_cn_quadratic,240,240,960,18,0.047899542027153075,True,0.0,7.575371391288499e-08,8.971325811124586e-07,2.9882183127938333e-05,3.834598927190058e-08,5.632694171079796e-07,1.0664302499969596e-05,True,True,1.656202468058865e-05,2.0775910750964846,1.9062217838273137
put_T100_s020_r005_q003,put,rannacher_cn_quadratic,240,480,960,18,0.09049629198852926,True,0.0,1.1278518702306783e-08,1.9400884399001228e-07,5.870611297087436e-06,6.46201959906118e-09,1.348832749934308e-07,2.0055288556440295e-06,True,True,1.0559309328028732e-06,2.2091987870868364,2.3477029104410225
put_T100_s020_r005_q003,put,dirk_lstable_quadratic,240,60,960,18,0.023462624987587333,True,0.0,6.65035379265877e-07,5.623991601644285e-06,0.00022256855698454814,4.113865054594681e-07,3.611539196154428e-06,7.920676345260627e-05,True,True,1.6570460043996427e-05,nan,nan
put_T100_s020_r005_q003,put,dirk_lstable_quadratic,240,120,960,18,0.04676145897246897,True,0.0,1.802914021964419e-07,1.8637654103370593e-06,6.54201416039335e-05,9.448251327333475e-08,1.1375911686511952e-06,2.3505401804782324e-05,True,True,1.6563541676228866e-05,1.593374158701405,1.766443005355257
put_T100_s020_r005_q003,put,dirk_lstable_quadratic,240,240,960,18,0.09210733405780047,True,0.0,6.133772800787085e-08,4.3109304426192097e-07,1.8334623319571364e-05,3.670595528387423e-08,2.441169245564982e-07,6.524062304995355e-06,True,True,1.6561694393124604e-05,2.1121490915625962,1.8351642556511674
put_T100_s020_r005_q003,put,dirk_lstable_quadratic,240,480,960,18,0.18401687499135733,True,0.0,4.827669070062157e-09,7.239522314961278e-08,2.4416760613377164e-06,2.6250453094200857e-09,4.944867846651301e-08,8.320800187878226e-07,True,True,4.3815985073525354e-07,2.574032872359489,2.9086269116345287
put_T100_s020_r005_q003,put,lobatto_iiic_penalty_quadratic,240,60,960,18,0.14759787498041987,True,0.0,3.5690030032453635e-06,2.3828248395196816e-05,0.0007308481325130067,2.3276219265852397e-06,1.3918237508874331e-05,0.00029989691118481636,True,True,0.013313816310501214,nan,nan
put_T100_s020_r005_q003,put,lobatto_iiic_penalty_quadratic,240,120,960,18,0.1535234999610111,True,0.0,1.070942124897778e-06,6.38339125014209e-06,0.00023648298189682393,7.069397048284938e-07,3.631331516874787e-06,9.30531538461702e-05,True,True,0.011810135062768512,1.900277922374593,1.6278352845704862
put_T100_s020_r005_q003,put,lobatto_iiic_penalty_quadratic,240,240,960,18,0.3785466669360176,False,0.0,2.774167874031175e-07,1.671597994579166e-06,6.906002020246049e-05,1.8029749592307648e-07,9.678818107903872e-07,2.7135782671393838e-05,True,True,0.009518372746009751,1.9330951430470322,1.775813704816407
