regime_id,option_type,grid,M,N,reference_M,query_nodes,runtime_seconds,converged,max_obstacle_violation,value_max_error,delta_max_error,gamma_max_error,value_rmse,delta_rmse,gamma_rmse,boundary_abs_error,local_grid_spacing,boundary_consistent,delta_empirical_order,gamma_empirical_order
put_T100_s020_r005_q003,put,uniform,120,960,960,36,0.3523696670308709,True,0.0,0.00027884677581667405,0.001645204367691555,0.01851912692216162,0.0001151372380997387,0.001126486726060132,0.006328239278627815,0.006538660605032942,0.033333333333333326,True,nan,nan
put_T100_s020_r005_q003,put,uniform,240,960,960,36,0.5406142920255661,True,0.0,7.710128500183766e-05,0.0003456828338401774,0.026173009356984966,3.163010098205435e-05,0.00024671217728041274,0.005675179727437584,0.006530152848675974,0.016666666666666607,True,2.250745938892617,-0.49906372929500176
put_T100_s020_r005_q003,put,uniform,480,960,960,36,0.9404866250697523,True,0.0,1.917952606939055e-05,8.585427558344128e-05,0.0035158137168127546,7.899549105739844e-06,5.828519698971802e-05,0.0006992001851489787,0.0016747830267760389,0.008333333333333304,True,2.0094870749971885,2.8961492768112733
put_T100_s020_r005_q003,put,sinh_strike_concentrated,120,960,960,36,0.335062374942936,True,0.0,2.7685569456217807e-05,0.0003062725192756188,0.02056400633512423,1.7673265345033518e-05,0.00010296795591135855,0.004143382785714308,0.005582605213583225,0.015389982375225264,True,nan,nan
put_T100_s020_r005_q003,put,sinh_strike_concentrated,240,960,960,36,0.8491505410056561,True,0.0,6.838550082460815e-06,4.5812323335198135e-05,0.0010808578300940397,4.104175093416886e-06,2.2810495399254496e-05,0.0003168719641245272,0.0015873522353452296,0.007778710339539696,True,2.7410082899961905,4.249872684905147
put_T100_s020_r005_q003,put,sinh_strike_concentrated,480,960,960,36,1.084958583000116,True,0.0,1.285241080201116e-06,9.794726011896904e-06,0.0007639519607605116,8.222575782948862e-07,4.5390049725011165e-06,0.0001444535782928794,9.55261000412655e-05,0.0038156172434226088,True,2.225658688204657,0.5006229457344288
call_T100_s020_r005_q006,call,uniform,120,960,960,36,0.6641367500415072,True,0.0,0.0002375421570162406,0.000898141150225934,0.008278734913481411,9.970065826269762e-05,0.0003880485087355833,0.003892650344224201,0.012977979276507678,0.03333333333333344,True,nan,nan
call_T100_s020_r005_q006,call,uniform,240,960,960,36,0.6166255000280216,True,0.0,6.780730189184792e-05,0.00024144401796449833,0.0020659881396842827,2.7650097936266076e-05,9.699817850219779e-05,0.0009569325132068641,0.0034908030360367714,0.01666666666666683,True,1.8952534744769323,2.0025783519871774
call_T100_s020_r005_q006,call,uniform,480,960,960,36,0.9365845000138506,True,0.0,1.6841157007452257e-05,5.078598329297246e-05,0.000500043226305591,6.892687390389705e-06,2.3264522546179906e-05,0.00023623960929644634,0.0027409766001083025,0.008333333333333526,True,2.2491864400406074,2.0467072527168217
call_T100_s020_r005_q006,call,sinh_strike_concentrated,120,960,960,36,0.3261977919610217,True,0.0,2.670489194538106e-05,0.0002778858955634622,0.0015059443107310333,1.6235397257635166e-05,0.00010230716940545709,0.0006734030733633104,0.0009144474309457085,0.020848249627911875,True,nan,nan
